local_id,split,raw_tile_index,num_buildings_labeled,num_buildings_unclassified,p0_no_damage,p1_minor,p2_major,p3_destroyed,S_real,L_bucket
2,train,1,119,24,1.0,0.0,0.0,0.0,0.0,0
3,train,2,11,0,0.5454545454545454,0.0,0.09090909090909091,0.36363636363636365,1.2727272727272727,1
4,train,3,191,0,0.9895287958115183,0.010471204188481676,0.0,0.0,0.010471204188481676,0
6,train,5,3,0,0.0,0.0,0.0,1.0,3.0,3
8,train,7,53,1,0.9622641509433962,0.03773584905660377,0.0,0.0,0.03773584905660377,0
11,train,10,2,0,0.0,0.0,0.0,1.0,3.0,3
13,train,12,3,0,0.3333333333333333,0.0,0.0,0.6666666666666666,2.0,2
14,train,13,128,4,1.0,0.0,0.0,0.0,0.0,0
19,train,18,170,11,0.9764705882352941,0.023529411764705882,0.0,0.0,0.023529411764705882,0
20,train,19,50,0,1.0,0.0,0.0,0.0,0.0,0
21,train,20,143,5,0.986013986013986,0.013986013986013986,0.0,0.0,0.013986013986013986,0
22,train,21,5,1,0.2,0.4,0.2,0.2,1.4000000000000001,1
23,train,22,240,37,1.0,0.0,0.0,0.0,0.0,0
24,train,23,160,15,0.9375,0.0625,0.0,0.0,0.0625,0
25,train,24,277,27,1.0,0.0,0.0,0.0,0.0,0
26,train,25,66,7,1.0,0.0,0.0,0.0,0.0,0
28,train,27,60,5,1.0,0.0,0.0,0.0,0.0,0
29,train,28,2,0,0.0,0.0,0.0,1.0,3.0,3
30,train,29,267,15,1.0,0.0,0.0,0.0,0.0,0
31,train,30,3,0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,0
32,train,31,228,0,1.0,0.0,0.0,0.0,0.0,0
34,train,33,82,0,1.0,0.0,0.0,0.0,0.0,0
37,train,36,71,0,1.0,0.0,0.0,0.0,0.0,0
39,train,38,1,1,0.0,0.0,1.0,0.0,2.0,2
40,train,39,45,0,1.0,0.0,0.0,0.0,0.0,0
42,train,41,113,0,1.0,0.0,0.0,0.0,0.0,0
44,train,43,67,0,1.0,0.0,0.0,0.0,0.0,0
45,train,44,113,0,1.0,0.0,0.0,0.0,0.0,0
