local_id,split,raw_tile_index,num_buildings_labeled,num_buildings_unclassified,p0_no_damage,p1_minor,p2_major,p3_destroyed,S_real,L_bucket
1,train,0,110,0,1.0,0.0,0.0,0.0,0.0,0
3,train,2,6,0,1.0,0.0,0.0,0.0,0.0,0
9,train,8,22,1,1.0,0.0,0.0,0.0,0.0,0
13,train,12,36,0,1.0,0.0,0.0,0.0,0.0,0
16,train,15,106,0,1.0,0.0,0.0,0.0,0.0,0
17,train,16,67,0,1.0,0.0,0.0,0.0,0.0,0
19,train,18,47,0,0.0,0.0,0.8936170212765957,0.10638297872340426,2.106382978723404,2
21,train,20,11,2,1.0,0.0,0.0,0.0,0.0,0
23,train,22,6,2,0.0,0.0,1.0,0.0,2.0,2
24,train,23,3,0,1.0,0.0,0.0,0.0,0.0,0
25,train,24,15,0,1.0,0.0,0.0,0.0,0.0,0
27,train,26,27,1,1.0,0.0,0.0,0.0,0.0,0
31,train,30,7,0,1.0,0.0,0.0,0.0,0.0,0
32,train,31,10,1,1.0,0.0,0.0,0.0,0.0,0
33,train,32,18,1,1.0,0.0,0.0,0.0,0.0,0
37,train,36,38,2,1.0,0.0,0.0,0.0,0.0,0
43,train,42,17,3,1.0,0.0,0.0,0.0,0.0,0
44,train,43,1,0,0.0,0.0,0.0,1.0,3.0,3
45,train,44,5,2,1.0,0.0,0.0,0.0,0.0,0
46,train,45,25,1,1.0,0.0,0.0,0.0,0.0,0
49,train,48,23,1,0.21739130434782608,0.21739130434782608,0.5652173913043478,0.0,1.3478260869565217,1
50,train,49,3,0,0.0,0.0,1.0,0.0,2.0,2
52,train,51,20,0,0.05,0.1,0.85,0.0,1.8,2
54,train,53,7,0,1.0,0.0,0.0,0.0,0.0,0
55,train,54,12,0,1.0,0.0,0.0,0.0,0.0,0
56,train,55,8,1,0.125,0.25,0.625,0.0,1.5,2
60,train,59,4,0,1.0,0.0,0.0,0.0,0.0,0
62,train,61,11,0,1.0,0.0,0.0,0.0,0.0,0
63,train,62,6,1,0.8333333333333334,0.0,0.16666666666666666,0.0,0.3333333333333333,0
64,train,63,24,1,1.0,0.0,0.0,0.0,0.0,0
65,train,64,36,0,1.0,0.0,0.0,0.0,0.0,0
66,train,65,2,0,0.0,0.0,1.0,0.0,2.0,2
67,train,66,16,6,1.0,0.0,0.0,0.0,0.0,0
68,train,67,25,0,1.0,0.0,0.0,0.0,0.0,0
70,train,69,9,0,1.0,0.0,0.0,0.0,0.0,0
71,train,70,14,1,0.0,0.07142857142857142,0.9285714285714286,0.0,1.9285714285714286,2
73,train,72,5,0,0.0,0.0,1.0,0.0,2.0,2
74,train,73,1,1,1.0,0.0,0.0,0.0,0.0,0
76,train,75,25,5,1.0,0.0,0.0,0.0,0.0,0
79,train,78,4,1,0.0,0.25,0.75,0.0,1.75,2
80,train,79,8,3,0.875,0.125,0.0,0.0,0.125,0
81,train,80,5,0,0.0,0.0,1.0,0.0,2.0,2
84,train,83,4,4,0.0,0.0,1.0,0.0,2.0,2
85,train,84,52,3,1.0,0.0,0.0,0.0,0.0,0
87,train,86,7,0,0.14285714285714285,0.0,0.8571428571428571,0.0,1.7142857142857142,2
89,train,88,1,0,0.0,0.0,1.0,0.0,2.0,2
92,train,91,123,8,1.0,0.0,0.0,0.0,0.0,0
100,train,99,18,5,1.0,0.0,0.0,0.0,0.0,0
101,train,100,5,0,0.0,0.0,1.0,0.0,2.0,2
102,train,101,1,0,0.0,0.0,1.0,0.0,2.0,2
103,train,102,10,0,0.0,0.0,1.0,0.0,2.0,2
104,train,103,60,2,1.0,0.0,0.0,0.0,0.0,0
105,train,104,17,0,0.9411764705882353,0.0,0.058823529411764705,0.0,0.11764705882352941,0
107,train,106,12,0,0.0,0.0,1.0,0.0,2.0,2
111,train,110,90,4,1.0,0.0,0.0,0.0,0.0,0
112,train,111,4,0,0.0,0.0,1.0,0.0,2.0,2
115,train,114,11,0,0.0,0.0,1.0,0.0,2.0,2
116,train,115,37,1,1.0,0.0,0.0,0.0,0.0,0
119,train,118,11,3,1.0,0.0,0.0,0.0,0.0,0
121,train,120,23,0,0.0,0.0,1.0,0.0,2.0,2
123,train,122,3,1,0.0,1.0,0.0,0.0,1.0,1
124,train,123,6,0,0.0,0.0,1.0,0.0,2.0,2
127,train,126,1,0,0.0,1.0,0.0,0.0,1.0,1
133,train,132,6,0,0.0,0.0,1.0,0.0,2.0,2
137,train,136,2,0,0.0,0.0,1.0,0.0,2.0,2
141,train,140,1,0,0.0,0.0,1.0,0.0,2.0,2
145,train,144,3,0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,1
147,train,146,4,0,0.0,0.0,1.0,0.0,2.0,2
148,train,147,4,0,0.0,0.0,0.0,1.0,3.0,3
149,train,148,6,0,0.0,0.0,1.0,0.0,2.0,2
150,train,149,10,0,0.0,0.0,1.0,0.0,2.0,2
152,train,151,7,0,0.0,0.0,1.0,0.0,2.0,2
154,train,153,16,0,0.0,0.1875,0.8125,0.0,1.8125,2
157,train,156,5,0,1.0,0.0,0.0,0.0,0.0,0
159,train,158,4,0,0.0,0.0,1.0,0.0,2.0,2
164,train,163,1,0,0.0,0.0,1.0,0.0,2.0,2
166,train,165,18,21,1.0,0.0,0.0,0.0,0.0,0
167,train,166,5,0,0.0,0.0,1.0,0.0,2.0,2
179,train,178,15,0,0.0,0.0,1.0,0.0,2.0,2
181,train,180,1,0,0.0,0.0,1.0,0.0,2.0,2
182,train,181,31,1,0.6451612903225806,0.0,0.3548387096774194,0.0,0.7096774193548387,1
184,train,183,8,0,0.0,0.0,1.0,0.0,2.0,2
