local_id,s_i,source,s_real
2,0.001000,labeled,0.0
3,0.424242,labeled,1.2727272727272727
4,0.003490,labeled,0.010471204188481676
6,1.000000,labeled,3.0
8,0.012579,labeled,0.03773584905660377
11,1.000000,labeled,3.0
13,0.666667,labeled,2.0
14,0.001000,labeled,0.0
19,0.007843,labeled,0.023529411764705882
20,0.001000,labeled,0.0
21,0.004662,labeled,0.013986013986013986
22,0.466667,labeled,1.4000000000000001
23,0.001000,labeled,0.0
24,0.020833,labeled,0.0625
25,0.001000,labeled,0.0
26,0.001000,labeled,0.0
28,0.001000,labeled,0.0
29,1.000000,labeled,3.0
30,0.001000,labeled,0.0
31,0.111111,labeled,0.3333333333333333
32,0.001000,labeled,0.0
34,0.001000,labeled,0.0
37,0.001000,labeled,0.0
39,0.666667,labeled,2.0
40,0.001000,labeled,0.0
42,0.001000,labeled,0.0
44,0.001000,labeled,0.0
45,0.001000,labeled,0.0
48,0.002849,labeled,0.008547008547008548
50,0.001000,labeled,0.0
55,0.001000,labeled,0.0
59,0.001000,labeled,0.0
60,0.001000,labeled,0.0
61,0.001000,labeled,0.0
62,0.001000,labeled,0.0
63,0.001000,labeled,0.0
64,0.001000,labeled,0.0
65,0.001000,labeled,0.0
66,0.001000,labeled,0.0
67,0.001000,labeled,0.0
68,0.001000,labeled,0.0
69,0.001000,labeled,0.0
71,0.001000,labeled,0.0
77,0.066667,labeled,0.2
78,0.001000,labeled,0.0
80,0.001000,labeled,0.0
82,0.666667,labeled,2.0
84,0.001000,labeled,0.0
85,0.066667,labeled,0.2
86,0.111111,labeled,0.3333333333333333
87,0.001000,labeled,0.0
96,0.016667,labeled,0.05
97,0.083333,labeled,0.25
100,0.001000,labeled,0.0
101,0.001000,labeled,0.0
104,0.025641,labeled,0.07692307692307693
108,0.001000,labeled,0.0
109,0.001000,labeled,0.0
110,0.001000,labeled,0.0
114,0.001000,labeled,0.0
115,0.001000,labeled,0.0
118,0.205128,labeled,0.6153846153846154
121,1.000000,labeled,3.0
122,0.001000,labeled,0.0
126,0.001000,labeled,0.0
131,0.272727,labeled,0.8181818181818181
132,0.001000,labeled,0.0
133,0.066667,labeled,0.2
140,1.000000,labeled,3.0
141,0.133333,labeled,0.4
142,0.001000,labeled,0.0
144,0.333333,labeled,0.9999999999999999
145,0.444444,labeled,1.3333333333333333
146,0.111111,labeled,0.3333333333333333
149,0.001000,labeled,0.0
151,0.333333,labeled,1.0
152,0.001000,labeled,0.0
155,0.001000,labeled,0.0
158,0.333333,labeled,1.0
162,0.055556,labeled,0.16666666666666666
163,0.001000,labeled,0.0
167,0.001000,labeled,0.0
168,0.001000,labeled,0.0
169,1.000000,labeled,3.0
171,0.105263,labeled,0.3157894736842105
172,0.001000,labeled,0.0
173,0.204545,labeled,0.6136363636363636
174,0.111111,labeled,0.3333333333333333
176,0.155556,labeled,0.4666666666666667
179,0.001000,labeled,0.0
182,0.260417,labeled,0.78125
184,0.001000,labeled,0.0
191,0.001000,labeled,0.0
192,0.001000,labeled,0.0
194,0.001000,labeled,0.0
195,0.001000,labeled,0.0
197,0.001000,labeled,0.0
198,0.001000,labeled,0.0
200,0.001000,labeled,0.0
202,0.001000,labeled,0.0
203,0.001000,labeled,0.0
205,0.001000,labeled,0.0
206,0.001000,labeled,0.0
207,0.119048,labeled,0.3571428571428571
208,0.187500,labeled,0.5625
217,0.001000,labeled,0.0
218,0.001000,labeled,0.0
220,0.001000,labeled,0.0
221,0.001000,labeled,0.0
222,0.001000,labeled,0.0
223,0.001000,labeled,0.0
224,0.001000,labeled,0.0
226,0.001000,labeled,0.0
229,0.001000,labeled,0.0
230,0.001000,labeled,0.0
231,0.153846,labeled,0.46153846153846156
232,0.001000,labeled,0.0
234,0.036036,labeled,0.10810810810810811
235,0.068966,labeled,0.20689655172413793
236,0.333333,labeled,1.0
237,0.027778,labeled,0.08333333333333333
238,0.006803,labeled,0.02040816326530612
239,0.240741,labeled,0.7222222222222222
240,0.111111,labeled,0.3333333333333333
243,0.333333,labeled,1.0
245,0.233333,labeled,0.7000000000000001
247,0.001000,labeled,0.0
248,0.055556,labeled,0.16666666666666669
250,0.180556,labeled,0.5416666666666666
252,0.033333,labeled,0.1
253,0.016667,labeled,0.05
254,0.020576,labeled,0.06172839506172839
256,0.047619,labeled,0.14285714285714285
259,0.001000,labeled,0.0
260,0.001000,labeled,0.0
264,0.001000,labeled,0.0
265,0.140351,labeled,0.42105263157894735
266,0.001000,labeled,0.0
268,0.001000,labeled,0.0
269,0.666667,labeled,2.0
270,0.001000,labeled,0.0
271,0.041667,labeled,0.125
273,0.001000,labeled,0.0
274,0.001000,labeled,0.0
276,0.001000,labeled,0.0
277,0.176471,labeled,0.5294117647058824
278,0.001000,labeled,0.0
280,0.001000,labeled,0.0
282,0.001000,labeled,0.0
283,0.015873,labeled,0.047619047619047616
284,0.001000,labeled,0.0
286,0.001000,labeled,0.0
290,0.017544,labeled,0.05263157894736842
291,1.000000,labeled,3.0
294,0.083333,labeled,0.25
300,0.040230,labeled,0.12068965517241378
302,0.054795,labeled,0.1643835616438356
304,0.050000,labeled,0.15000000000000002
305,0.001000,labeled,0.0
309,0.001000,labeled,0.0
311,0.001000,labeled,0.0
314,0.001000,labeled,0.0
315,0.025641,labeled,0.07692307692307693
317,0.001000,labeled,0.0
318,1.000000,labeled,3.0
319,0.001000,labeled,0.0
320,0.001000,labeled,0.0
321,0.068627,labeled,0.20588235294117646
323,0.001000,labeled,0.0
327,0.666667,labeled,2.0
329,0.148148,labeled,0.4444444444444444
331,0.833333,labeled,2.5
332,0.088235,labeled,0.2647058823529412
338,0.001000,labeled,0.0
339,0.001000,labeled,0.0
340,0.001000,labeled,0.0
341,0.680556,labeled,2.0416666666666665
344,0.001000,labeled,0.0
346,0.001000,labeled,0.0
347,0.592593,labeled,1.7777777777777777
348,0.111111,labeled,0.3333333333333333
349,0.001000,labeled,0.0
351,0.025641,labeled,0.07692307692307693
352,0.333333,labeled,1.0
353,0.047619,labeled,0.14285714285714285
354,0.277778,labeled,0.8333333333333333
356,0.148148,labeled,0.4444444444444444
357,0.001000,labeled,0.0
358,0.001000,labeled,0.0
359,0.001000,labeled,0.0
360,0.004831,labeled,0.014492753623188406
361,0.008333,labeled,0.025
367,0.001000,labeled,0.0
368,0.001000,labeled,0.0
369,0.174603,labeled,0.5238095238095237
372,0.001000,labeled,0.0
375,0.055556,labeled,0.16666666666666666
377,0.001000,labeled,0.0
378,0.001000,labeled,0.0
379,0.001000,labeled,0.0
380,0.001000,labeled,0.0
382,0.030303,labeled,0.09090909090909091
386,0.001000,labeled,0.0
387,0.001000,labeled,0.0
389,0.001000,labeled,0.0
390,0.001000,labeled,0.0
392,0.333333,labeled,1.0
393,0.001000,labeled,0.0
394,0.133333,labeled,0.4
395,0.001000,labeled,0.0
396,0.333333,labeled,1.0
398,0.001000,labeled,0.0
399,0.166667,labeled,0.5
400,0.666667,labeled,2.0
401,0.155556,labeled,0.4666666666666667
402,0.001000,labeled,0.0
404,0.001000,labeled,0.0
405,0.100000,labeled,0.30000000000000004
406,0.222222,labeled,0.6666666666666666
407,0.333333,labeled,1.0
408,0.001000,labeled,0.0
409,0.001000,labeled,0.0
411,0.014493,labeled,0.043478260869565216
412,0.001000,labeled,0.0
416,0.142857,labeled,0.42857142857142855
417,0.074074,labeled,0.2222222222222222
418,0.044444,labeled,0.13333333333333333
419,0.111111,labeled,0.3333333333333333
423,0.001000,labeled,0.0
424,0.001000,labeled,0.0
425,0.066667,labeled,0.2
427,0.033333,labeled,0.1
428,0.001000,labeled,0.0
430,0.033333,labeled,0.1
431,0.001000,labeled,0.0
432,0.001000,labeled,0.0
434,0.041667,labeled,0.125
436,0.102941,labeled,0.3088235294117647
437,1.000000,labeled,3.0
439,0.001000,labeled,0.0
442,0.001000,labeled,0.0
443,0.001000,labeled,0.0
445,0.095238,labeled,0.2857142857142857
