local_id,split,raw_tile_index,raw_pre_label_json,raw_post_label_json
6,train,5,/home/xjtucxy/sjq/sliders/datasets/DisasterDataset_extracted/DisasterDataset/train/labels/santa-rosa-wildfire_00000005_pre_disaster.json,/home/xjtucxy/sjq/sliders/datasets/DisasterDataset_extracted/DisasterDataset/train/labels/santa-rosa-wildfire_00000005_post_disaster.json
7,train,6,/home/xjtucxy/sjq/sliders/datasets/DisasterDataset_extracted/DisasterDataset/train/labels/santa-rosa-wildfire_00000006_pre_disaster.json,/home/xjtucxy/sjq/sliders/datasets/DisasterDataset_extracted/DisasterDataset/train/labels/santa-rosa-wildfire_00000006_post_disaster.json
8,train,7,/home/xjtucxy/sjq/sliders/datasets/DisasterDataset_extracted/DisasterDataset/train/labels/santa-rosa-wildfire_00000007_pre_disaster.json,/home/xjtucxy/sjq/sliders/datasets/DisasterDataset_extracted/DisasterDataset/train/labels/santa-rosa-wildfire_00000007_post_disaster.json
16,train,15,/home/xjtucxy/sjq/sliders/datasets/DisasterDataset_extracted/DisasterDataset/train/labels/santa-rosa-wildfire_00000015_pre_disaster.json,/home/xjtucxy/sjq/sliders/datasets/DisasterDataset_extracted/DisasterDataset/train/labels/santa-rosa-wildfire_00000015_post_disaster.json
25,train,24,/home/xjtucxy/sjq/sliders/datasets/DisasterDataset_extracted/DisasterDataset/train/labels/santa-rosa-wildfire_00000024_pre_disaster.json,/home/xjtucxy/sjq/sliders/datasets/DisasterDataset_extracted/DisasterDataset/train/labels/santa-rosa-wildfire_00000024_post_disaster.json
27,train,26,/home/xjtucxy/sjq/sliders/datasets/DisasterDataset_extracted/DisasterDataset/train/labels/santa-rosa-wildfire_00000026_pre_disaster.json,/home/xjtucxy/sjq/sliders/datasets/DisasterDataset_extracted/DisasterDataset/train/labels/santa-rosa-wildfire_00000026_post_disaster.json
28,train,27,/home/xjtucxy/sjq/sliders/datasets/DisasterDataset_extracted/DisasterDataset/train/labels/santa-rosa-wildfire_00000027_pre_disaster.json,/home/xjtucxy/sjq/sliders/datasets/DisasterDataset_extracted/DisasterDataset/train/labels/santa-rosa-wildfire_00000027_post_disaster.json
31,train,30,/home/xjtucxy/sjq/sliders/datasets/DisasterDataset_extracted/DisasterDataset/train/labels/santa-rosa-wildfire_00000030_pre_disaster.json,/home/xjtucxy/sjq/sliders/datasets/DisasterDataset_extracted/DisasterDataset/train/labels/santa-rosa-wildfire_00000030_post_disaster.json
32,train,31,/home/xjtucxy/sjq/sliders/datasets/DisasterDataset_extracted/DisasterDataset/train/labels/santa-rosa-wildfire_00000031_pre_disaster.json,/home/xjtucxy/sjq/sliders/datasets/DisasterDataset_extracted/DisasterDataset/train/labels/santa-rosa-wildfire_00000031_post_disaster.json
34,train,33,/home/xjtucxy/sjq/sliders/datasets/DisasterDataset_extracted/DisasterDataset/train/labels/santa-rosa-wildfire_00000033_pre_disaster.json,/home/xjtucxy/sjq/sliders/datasets/DisasterDataset_extracted/DisasterDataset/train/labels/santa-rosa-wildfire_00000033_post_disaster.json
35,train,34,/home/xjtucxy/sjq/sliders/datasets/DisasterDataset_extracted/DisasterDataset/train/labels/santa-rosa-wildfire_00000034_pre_disaster.json,/home/xjtucxy/sjq/sliders/datasets/DisasterDataset_extracted/DisasterDataset/train/labels/santa-rosa-wildfire_00000034_post_disaster.json
36,train,35,/home/xjtucxy/sjq/sliders/datasets/DisasterDataset_extracted/DisasterDataset/train/labels/santa-rosa-wildfire_00000035_pre_disaster.json,/home/xjtucxy/sjq/sliders/datasets/DisasterDataset_extracted/DisasterDataset/train/labels/santa-rosa-wildfire_00000035_post_disaster.json
37,train,36,/home/xjtucxy/sjq/sliders/datasets/DisasterDataset_extracted/DisasterDataset/train/labels/santa-rosa-wildfire_00000036_pre_disaster.json,/home/xjtucxy/sjq/sliders/datasets/DisasterDataset_extracted/DisasterDataset/train/labels/santa-rosa-wildfire_00000036_post_disaster.json
40,train,39,/home/xjtucxy/sjq/sliders/datasets/DisasterDataset_extracted/DisasterDataset/train/labels/santa-rosa-wildfire_00000039_pre_disaster.json,/home/xjtucxy/sjq/sliders/datasets/DisasterDataset_extracted/DisasterDataset/train/labels/santa-rosa-wildfire_00000039_post_disaster.json
42,train,41,/home/xjtucxy/sjq/sliders/datasets/DisasterDataset_extracted/DisasterDataset/train/labels/santa-rosa-wildfire_00000041_pre_disaster.json,/home/xjtucxy/sjq/sliders/datasets/DisasterDataset_extracted/DisasterDataset/train/labels/santa-rosa-wildfire_00000041_post_disaster.json
45,train,44,/home/xjtucxy/sjq/sliders/datasets/DisasterDataset_extracted/DisasterDataset/train/labels/santa-rosa-wildfire_00000044_pre_disaster.json,/home/xjtucxy/sjq/sliders/datasets/DisasterDataset_extracted/DisasterDataset/train/labels/santa-rosa-wildfire_00000044_post_disaster.json
