local_id,split,raw_tile_index,num_buildings_labeled,num_buildings_unclassified,p0_no_damage,p1_minor,p2_major,p3_destroyed,S_real,L_bucket
6,train,5,20,1,0.85,0.0,0.05,0.1,0.4,0
7,train,6,38,0,0.3684210526315789,0.02631578947368421,0.05263157894736842,0.5526315789473685,1.7894736842105263,2
8,train,7,123,0,0.3902439024390244,0.0,0.016260162601626018,0.5934959349593496,1.8130081300813008,2
16,train,15,123,0,0.4715447154471545,0.0,0.0,0.5284552845528455,1.5853658536585367,2
25,train,24,5,0,0.0,0.0,0.0,1.0,3.0,3
27,train,26,10,0,0.1,0.0,0.0,0.9,2.7,3
28,train,27,19,0,0.21052631578947367,0.05263157894736842,0.0,0.7368421052631579,2.263157894736842,2
31,train,30,32,0,0.0,0.03125,0.0,0.96875,2.9375,3
32,train,31,27,0,0.14814814814814814,0.0,0.0,0.8518518518518519,2.5555555555555554,3
34,train,33,43,0,0.9069767441860465,0.0,0.0,0.09302325581395349,0.27906976744186046,0
35,train,34,10,0,0.2,0.0,0.0,0.8,2.4000000000000004,2
36,train,35,35,0,0.02857142857142857,0.0,0.0,0.9714285714285714,2.914285714285714,3
37,train,36,116,0,0.05172413793103448,0.0,0.0,0.9482758620689655,2.844827586206897,3
40,train,39,46,0,0.782608695652174,0.0,0.0,0.21739130434782608,0.6521739130434783,1
42,train,41,145,0,1.0,0.0,0.0,0.0,0.0,0
45,train,44,80,1,0.0375,0.0,0.0,0.9625,2.8875,3
47,train,46,44,0,0.045454545454545456,0.0,0.022727272727272728,0.9318181818181818,2.840909090909091,3
50,train,49,76,0,0.013157894736842105,0.0,0.0,0.9868421052631579,2.9605263157894735,3
51,train,50,184,0,1.0,0.0,0.0,0.0,0.0,0
52,train,51,10,0,0.2,0.0,0.0,0.8,2.4000000000000004,2
56,train,55,10,0,0.1,0.0,0.1,0.8,2.6000000000000005,3
61,train,60,10,1,0.1,0.0,0.0,0.9,2.7,3
64,train,63,236,0,0.1228813559322034,0.0,0.00423728813559322,0.8728813559322034,2.6271186440677967,3
76,train,75,65,0,0.0,0.0,0.0,1.0,3.0,3
85,train,84,218,0,0.05045871559633028,0.0,0.0,0.9495412844036697,2.8486238532110093,3
94,train,93,33,0,0.6363636363636364,0.0,0.09090909090909091,0.2727272727272727,1.0,1
97,train,96,45,5,0.5333333333333333,0.044444444444444446,0.022222222222222223,0.4,1.288888888888889,1
104,train,103,38,1,0.23684210526315788,0.02631578947368421,0.05263157894736842,0.6842105263157895,2.18421052631579,2
106,train,105,8,0,0.375,0.0,0.0,0.625,1.875,2
115,train,114,30,1,0.16666666666666666,0.13333333333333333,0.03333333333333333,0.6666666666666666,2.2,2
117,train,116,3,0,0.0,0.0,0.0,1.0,3.0,3
119,train,118,46,0,0.06521739130434782,0.0,0.0,0.9347826086956522,2.8043478260869565,3
130,train,129,111,0,0.08108108108108109,0.009009009009009009,0.0,0.9099099099099099,2.7387387387387387,3
148,train,147,27,0,0.14814814814814814,0.2222222222222222,0.1111111111111111,0.5185185185185185,1.9999999999999998,2
156,train,155,288,0,0.2916666666666667,0.003472222222222222,0.0,0.7048611111111112,2.118055555555556,2
162,train,161,244,0,0.30327868852459017,0.004098360655737705,0.004098360655737705,0.6885245901639344,2.0778688524590163,2
163,train,162,58,1,0.0,0.0,0.0,1.0,3.0,3
197,train,196,32,0,0.03125,0.0,0.0,0.96875,2.90625,3
209,train,208,7,0,0.0,0.0,0.0,1.0,3.0,3
222,train,221,9,0,1.0,0.0,0.0,0.0,0.0,0
261,train,260,42,0,0.16666666666666666,0.047619047619047616,0.0,0.7857142857142857,2.4047619047619047,2
268,train,267,22,0,0.22727272727272727,0.0,0.0,0.7727272727272727,2.3181818181818183,2
275,train,274,2,0,0.0,0.0,0.5,0.5,2.5,3
276,train,275,8,0,0.375,0.0,0.0,0.625,1.875,2
287,train,286,80,1,0.9,0.0,0.0,0.1,0.30000000000000004,0
288,train,287,17,4,0.7058823529411765,0.0,0.0,0.29411764705882354,0.8823529411764706,1
292,train,291,17,1,0.4117647058823529,0.0,0.0,0.5882352941176471,1.7647058823529411,2
294,train,293,2,0,0.0,0.0,0.0,1.0,3.0,3
297,train,296,8,0,0.375,0.0,0.0,0.625,1.875,2
298,train,297,3,0,0.0,0.3333333333333333,0.0,0.6666666666666666,2.3333333333333335,2
299,train,298,7,0,0.8571428571428571,0.0,0.0,0.14285714285714285,0.42857142857142855,0
302,train,301,10,0,0.7,0.1,0.0,0.2,0.7000000000000001,1
309,train,308,7,0,0.0,0.0,0.0,1.0,3.0,3
319,train,318,10,0,0.0,0.0,0.0,1.0,3.0,3
325,train,324,17,1,0.0,0.0,0.0,1.0,3.0,3
339,train,338,2,2,0.5,0.0,0.0,0.5,1.5,2
341,train,340,3,0,0.3333333333333333,0.0,0.0,0.6666666666666666,2.0,2
345,train,344,47,0,0.02127659574468085,0.0,0.0,0.9787234042553191,2.9361702127659575,3
346,train,345,2,0,0.0,0.0,0.0,1.0,3.0,3
347,train,346,11,0,0.0,0.0,0.0,1.0,3.0,3
349,train,348,4,0,0.5,0.0,0.25,0.25,1.25,1
352,train,351,22,0,0.5,0.0,0.0,0.5,1.5,2
354,train,353,8,0,0.0,0.0,0.0,1.0,3.0,3
358,train,357,40,0,0.625,0.0,0.025,0.35,1.0999999999999999,1
362,train,361,27,0,0.9259259259259259,0.0,0.0,0.07407407407407407,0.2222222222222222,0
363,train,362,59,1,1.0,0.0,0.0,0.0,0.0,0
370,train,369,27,0,0.14814814814814814,0.0,0.1111111111111111,0.7407407407407407,2.4444444444444446,2
372,train,371,174,0,1.0,0.0,0.0,0.0,0.0,0
373,train,372,217,0,1.0,0.0,0.0,0.0,0.0,0
374,train,373,24,0,0.3333333333333333,0.041666666666666664,0.0,0.625,1.9166666666666667,2
377,train,376,41,0,0.7317073170731707,0.0,0.04878048780487805,0.21951219512195122,0.7560975609756098,1
1,test,0,27,0,1.0,0.0,0.0,0.0,0.0,0
2,test,1,39,0,1.0,0.0,0.0,0.0,0.0,0
13,test,12,171,1,0.07017543859649122,0.005847953216374269,0.0,0.9239766081871345,2.7777777777777777,3
20,test,19,52,0,0.7307692307692307,0.019230769230769232,0.0,0.25,0.7692307692307693,1
22,test,21,11,2,0.45454545454545453,0.0,0.0,0.5454545454545454,1.6363636363636362,2
29,test,28,16,0,0.875,0.0,0.0,0.125,0.375,0
39,test,38,104,0,0.019230769230769232,0.0,0.0,0.9807692307692307,2.942307692307692,3
44,test,43,1,0,1.0,0.0,0.0,0.0,0.0,0
46,test,45,107,0,1.0,0.0,0.0,0.0,0.0,0
53,test,52,32,0,0.125,0.0,0.03125,0.84375,2.59375,3
69,test,68,43,0,0.23255813953488372,0.023255813953488372,0.0,0.7441860465116279,2.255813953488372,2
72,test,71,111,0,1.0,0.0,0.0,0.0,0.0,0
75,test,74,161,0,0.9130434782608695,0.012422360248447204,0.0,0.07453416149068323,0.2360248447204969,0
87,test,86,45,0,1.0,0.0,0.0,0.0,0.0,0
90,test,89,195,0,0.12307692307692308,0.0,0.005128205128205128,0.8717948717948718,2.6256410256410256,3
100,test,99,7,0,0.0,0.0,0.0,1.0,3.0,3
103,test,102,6,0,0.0,0.0,0.0,1.0,3.0,3
114,test,113,40,0,0.75,0.0,0.0,0.25,0.75,1
124,test,123,155,0,1.0,0.0,0.0,0.0,0.0,0
142,test,141,182,0,0.8076923076923077,0.0,0.01098901098901099,0.1813186813186813,0.5659340659340659,1
145,test,144,147,0,1.0,0.0,0.0,0.0,0.0,0
146,test,145,153,0,1.0,0.0,0.0,0.0,0.0,0
160,test,159,38,0,0.0,0.0,0.0,1.0,3.0,3
185,test,184,159,1,1.0,0.0,0.0,0.0,0.0,0
199,test,198,101,0,1.0,0.0,0.0,0.0,0.0,0
203,test,202,3,0,0.6666666666666666,0.0,0.0,0.3333333333333333,1.0,1
205,test,204,22,0,0.09090909090909091,0.0,0.0,0.9090909090909091,2.727272727272727,3
208,test,207,106,0,1.0,0.0,0.0,0.0,0.0,0
214,test,213,149,0,1.0,0.0,0.0,0.0,0.0,0
237,test,236,96,0,1.0,0.0,0.0,0.0,0.0,0
270,test,269,12,0,0.08333333333333333,0.0,0.0,0.9166666666666666,2.75,3
274,test,273,12,1,0.16666666666666666,0.0,0.08333333333333333,0.75,2.4166666666666665,2
280,test,279,2,0,0.0,0.0,0.0,1.0,3.0,3
293,test,292,51,0,0.9607843137254902,0.0,0.0,0.0392156862745098,0.11764705882352941,0
295,test,294,1,0,0.0,0.0,0.0,1.0,3.0,3
306,test,305,5,0,0.4,0.2,0.0,0.4,1.4000000000000001,1
312,test,311,4,0,0.0,0.0,0.0,1.0,3.0,3
330,test,329,69,0,0.782608695652174,0.014492753623188406,0.0,0.2028985507246377,0.6231884057971014,1
337,test,336,12,0,1.0,0.0,0.0,0.0,0.0,0
344,test,343,18,0,0.0,0.0,0.0,1.0,3.0,3
355,test,354,18,0,0.7222222222222222,0.05555555555555555,0.0,0.2222222222222222,0.7222222222222222,1
