local_id,split,raw_tile_index,num_buildings_labeled,num_buildings_unclassified,p0_no_damage,p1_minor,p2_major,p3_destroyed,S_real,L_bucket
3,train,2,30,0,1.0,0.0,0.0,0.0,0.0,0
4,train,3,24,1,1.0,0.0,0.0,0.0,0.0,0
7,train,6,11,0,1.0,0.0,0.0,0.0,0.0,0
13,train,12,13,0,1.0,0.0,0.0,0.0,0.0,0
15,train,14,8,0,1.0,0.0,0.0,0.0,0.0,0
29,train,28,24,0,1.0,0.0,0.0,0.0,0.0,0
36,train,35,82,0,1.0,0.0,0.0,0.0,0.0,0
37,train,36,3,4,1.0,0.0,0.0,0.0,0.0,0
39,train,38,13,0,1.0,0.0,0.0,0.0,0.0,0
43,train,42,8,0,1.0,0.0,0.0,0.0,0.0,0
45,train,44,21,0,1.0,0.0,0.0,0.0,0.0,0
47,train,46,8,16,1.0,0.0,0.0,0.0,0.0,0
51,train,50,11,7,1.0,0.0,0.0,0.0,0.0,0
59,train,58,3,1,1.0,0.0,0.0,0.0,0.0,0
62,train,61,1,0,1.0,0.0,0.0,0.0,0.0,0
63,train,62,1,0,1.0,0.0,0.0,0.0,0.0,0
66,train,65,2,0,1.0,0.0,0.0,0.0,0.0,0
73,train,72,36,1,1.0,0.0,0.0,0.0,0.0,0
81,train,80,1,0,1.0,0.0,0.0,0.0,0.0,0
82,train,81,6,1,0.0,0.0,0.0,1.0,3.0,3
83,train,82,27,1,0.5185185185185185,0.037037037037037035,0.0,0.4444444444444444,1.3703703703703702,1
85,train,84,28,2,1.0,0.0,0.0,0.0,0.0,0
88,train,87,8,0,1.0,0.0,0.0,0.0,0.0,0
91,train,90,25,0,0.68,0.0,0.0,0.32,0.96,1
94,train,93,34,0,1.0,0.0,0.0,0.0,0.0,0
96,train,95,1,0,0.0,1.0,0.0,0.0,1.0,1
100,train,99,14,0,1.0,0.0,0.0,0.0,0.0,0
103,train,102,1,0,0.0,0.0,0.0,1.0,3.0,3
104,train,103,41,0,1.0,0.0,0.0,0.0,0.0,0
107,train,106,5,0,0.0,0.0,0.0,1.0,3.0,3
110,train,109,19,8,1.0,0.0,0.0,0.0,0.0,0
115,train,114,47,0,0.0851063829787234,0.0425531914893617,0.0,0.8723404255319149,2.6595744680851063,3
116,train,115,12,2,1.0,0.0,0.0,0.0,0.0,0
117,train,116,3,0,0.3333333333333333,0.0,0.0,0.6666666666666666,2.0,2
125,train,124,17,0,0.23529411764705882,0.0,0.058823529411764705,0.7058823529411765,2.235294117647059,2
127,train,126,27,3,1.0,0.0,0.0,0.0,0.0,0
137,train,136,26,8,1.0,0.0,0.0,0.0,0.0,0
145,train,144,1,2,1.0,0.0,0.0,0.0,0.0,0
147,train,146,21,0,1.0,0.0,0.0,0.0,0.0,0
154,train,153,16,0,1.0,0.0,0.0,0.0,0.0,0
155,train,154,1,0,0.0,0.0,0.0,1.0,3.0,3
157,train,156,46,0,1.0,0.0,0.0,0.0,0.0,0
167,train,166,6,0,0.5,0.0,0.0,0.5,1.5,2
175,train,174,5,0,0.2,0.0,0.0,0.8,2.4000000000000004,2
181,train,180,34,2,1.0,0.0,0.0,0.0,0.0,0
184,train,183,5,0,0.0,0.2,0.2,0.6,2.4,2
194,train,193,1,0,0.0,0.0,0.0,1.0,3.0,3
200,train,199,19,15,1.0,0.0,0.0,0.0,0.0,0
205,train,204,1,0,0.0,0.0,0.0,1.0,3.0,3
206,train,205,3,0,1.0,0.0,0.0,0.0,0.0,0
212,train,211,3,0,0.0,0.0,0.0,1.0,3.0,3
216,train,215,14,0,0.21428571428571427,0.0,0.0,0.7857142857142857,2.357142857142857,2
221,train,220,25,0,0.64,0.0,0.0,0.36,1.08,1
222,train,221,3,0,0.0,0.0,0.0,1.0,3.0,3
223,train,222,23,3,0.6521739130434783,0.0,0.08695652173913043,0.2608695652173913,0.9565217391304347,1
227,train,226,102,0,1.0,0.0,0.0,0.0,0.0,0
228,train,227,15,0,1.0,0.0,0.0,0.0,0.0,0
229,train,228,28,0,0.8571428571428571,0.0,0.0,0.14285714285714285,0.42857142857142855,0
232,train,231,5,3,1.0,0.0,0.0,0.0,0.0,0
238,train,237,18,0,1.0,0.0,0.0,0.0,0.0,0
240,train,239,107,0,1.0,0.0,0.0,0.0,0.0,0
241,train,240,45,0,1.0,0.0,0.0,0.0,0.0,0
245,train,244,4,3,1.0,0.0,0.0,0.0,0.0,0
246,train,245,11,3,0.0,0.0,0.0,1.0,3.0,3
252,train,251,44,0,1.0,0.0,0.0,0.0,0.0,0
253,train,252,4,0,1.0,0.0,0.0,0.0,0.0,0
254,train,253,33,0,0.30303030303030304,0.0,0.09090909090909091,0.6060606060606061,2.0,2
258,train,257,3,7,1.0,0.0,0.0,0.0,0.0,0
266,train,265,4,0,0.0,0.0,0.0,1.0,3.0,3
267,train,266,10,0,1.0,0.0,0.0,0.0,0.0,0
