local_id,s_i,source,s_real
3,0.001000,labeled,0.0
4,0.001000,labeled,0.0
7,0.001000,labeled,0.0
13,0.001000,labeled,0.0
15,0.001000,labeled,0.0
29,0.001000,labeled,0.0
36,0.001000,labeled,0.0
37,0.001000,labeled,0.0
39,0.001000,labeled,0.0
43,0.001000,labeled,0.0
45,0.001000,labeled,0.0
47,0.001000,labeled,0.0
51,0.001000,labeled,0.0
59,0.001000,labeled,0.0
62,0.001000,labeled,0.0
63,0.001000,labeled,0.0
66,0.001000,labeled,0.0
73,0.001000,labeled,0.0
81,0.001000,labeled,0.0
82,1.000000,labeled,3.0
83,0.456790,labeled,1.3703703703703702
85,0.001000,labeled,0.0
88,0.001000,labeled,0.0
91,0.320000,labeled,0.96
94,0.001000,labeled,0.0
96,0.333333,labeled,1.0
100,0.001000,labeled,0.0
103,1.000000,labeled,3.0
104,0.001000,labeled,0.0
107,1.000000,labeled,3.0
110,0.001000,labeled,0.0
115,0.886525,labeled,2.6595744680851063
116,0.001000,labeled,0.0
117,0.666667,labeled,2.0
125,0.745098,labeled,2.235294117647059
127,0.001000,labeled,0.0
137,0.001000,labeled,0.0
145,0.001000,labeled,0.0
147,0.001000,labeled,0.0
154,0.001000,labeled,0.0
155,1.000000,labeled,3.0
157,0.001000,labeled,0.0
167,0.500000,labeled,1.5
175,0.800000,labeled,2.4000000000000004
181,0.001000,labeled,0.0
184,0.800000,labeled,2.4
194,1.000000,labeled,3.0
200,0.001000,labeled,0.0
205,1.000000,labeled,3.0
206,0.001000,labeled,0.0
212,1.000000,labeled,3.0
216,0.785714,labeled,2.357142857142857
221,0.360000,labeled,1.08
222,1.000000,labeled,3.0
223,0.318841,labeled,0.9565217391304347
227,0.001000,labeled,0.0
228,0.001000,labeled,0.0
229,0.142857,labeled,0.42857142857142855
232,0.001000,labeled,0.0
238,0.001000,labeled,0.0
240,0.001000,labeled,0.0
241,0.001000,labeled,0.0
245,0.001000,labeled,0.0
246,1.000000,labeled,3.0
252,0.001000,labeled,0.0
253,0.001000,labeled,0.0
254,0.666667,labeled,2.0
258,0.001000,labeled,0.0
266,1.000000,labeled,3.0
267,0.001000,labeled,0.0
269,0.651515,labeled,1.9545454545454546
272,0.001000,labeled,0.0
280,1.000000,labeled,3.0
284,1.000000,labeled,3.0
287,0.001000,labeled,0.0
289,0.878788,labeled,2.6363636363636362
291,0.666667,labeled,1.9999999999999998
297,0.001000,labeled,0.0
302,0.238095,labeled,0.7142857142857142
303,1.000000,labeled,3.0
304,0.875000,labeled,2.625
309,0.187135,labeled,0.5614035087719298
313,0.070175,labeled,0.21052631578947367
333,1.000000,labeled,3.0
338,0.001000,labeled,0.0
342,0.900000,labeled,2.7
344,0.888889,labeled,2.6666666666666665
347,1.000000,labeled,3.0
349,0.407407,labeled,1.222222222222222
358,0.001000,labeled,0.0
359,0.941176,labeled,2.8235294117647056
361,0.527273,labeled,1.5818181818181816
364,0.001000,labeled,0.0
368,1.000000,labeled,3.0
370,0.800000,labeled,2.4000000000000004
371,1.000000,labeled,3.0
376,0.001000,labeled,0.0
388,0.984848,labeled,2.9545454545454546
390,0.250000,labeled,0.75
392,0.001000,labeled,0.0
400,0.857143,labeled,2.571428571428571
403,0.055556,labeled,0.16666666666666666
