variant,scale,n,rho,p,ci_lo,ci_hi,mean_Shat
unrefined,0,103,-0.04011393248965658,0.6874592357260262,-0.2332226712969696,0.14710155162543048,0.4307037889957428
unrefined,0.25,103,-0.06375209764849686,0.5223233645624419,-0.2529113206398196,0.12690044345230017,0.44138509035110474
unrefined,0.3,103,-0.04590804205336469,0.6451771018638579,-0.23776889420548783,0.13928674861801402,0.4442718029022217
unrefined,0.5,103,-0.02184756570183429,0.8266121237715796,-0.22318873001776895,0.17378838277070732,0.387234091758728
unrefined,0.7,103,-0.021447777772754337,0.8297366098308105,-0.2292819732437418,0.1722504008060863,0.34338441491127014
unrefined,0.75,103,-0.021312638191093504,0.8307933768325368,-0.22688543929434057,0.17512406604704234,0.3366791307926178
unrefined,1,103,-0.01404325486092132,0.8880350445577861,-0.22247271909890243,0.1789192546001396,0.3104601800441742
refined,0,103,-0.1041194168537675,0.29526177631099787,-0.306780036802207,0.10109485898279826,0.3062494397163391
refined,0.25,103,0.39995122274113093,2.8440155364348772e-05,0.21479518080162496,0.5558003739357189,0.8076708912849426
refined,0.3,103,0.40579037883205926,2.1138380791553315e-05,0.22167284846079163,0.5639159905704373,0.8094750046730042
refined,0.5,103,0.4115450726844497,1.5692751864105583e-05,0.2262286585496916,0.5669834635984271,0.8052352070808411
refined,0.7,103,0.42128075337993204,9.361551882407138e-06,0.23856726158297453,0.5747034042426086,0.7989404201507568
refined,0.75,103,0.41776149344084784,1.1304484535331265e-05,0.23545870061887322,0.5709364742553774,0.7984333038330078
refined,1,103,0.4170182257417133,1.176065663534915e-05,0.23368298950268693,0.5746112906159336,0.7988092303276062
