variant,scale,n,rho,p,ci_lo,ci_hi,mean_Shat
unrefined,0,103,-0.04011393248965658,0.6874592357260262,-0.2332226712969696,0.14710155162543048,0.4307037889957428
unrefined,0.25,103,-0.06375209764849686,0.5223233645624419,-0.2529113206398196,0.12690044345230017,0.44138509035110474
unrefined,0.3,103,-0.04590804205336469,0.6451771018638579,-0.23776889420548783,0.13928674861801402,0.4442718029022217
unrefined,0.5,103,-0.02184756570183429,0.8266121237715796,-0.22318873001776895,0.17378838277070732,0.387234091758728
unrefined,0.7,103,-0.021447777772754337,0.8297366098308105,-0.2292819732437418,0.1722504008060863,0.34338441491127014
unrefined,0.75,103,-0.021312638191093504,0.8307933768325368,-0.22688543929434057,0.17512406604704234,0.3366791307926178
unrefined,1,103,-0.01404325486092132,0.8880350445577861,-0.22247271909890243,0.1789192546001396,0.3104601800441742
refined,0,103,-0.08306579619419059,0.4041794370761245,-0.28728734334791717,0.11461817910820706,0.33306780457496643
refined,0.25,103,-0.06444468800450863,0.5178048599736493,-0.27280364108457816,0.13050637240800053,0.36519855260849
refined,0.3,103,-0.06470370553602521,0.5161201456092378,-0.276026939249813,0.1302587510159146,0.37667155265808105
refined,0.5,103,0.04529428311998841,0.6496057690206448,-0.16788406263067562,0.23967025893151173,0.5620675683021545
refined,0.7,103,0.10452483559874999,0.293375146052624,-0.11174934646499184,0.29305328727282504,0.695060133934021
refined,0.75,103,0.09746942327287413,0.32734844802791024,-0.1184920457055698,0.28221053551323383,0.7047772407531738
refined,1,103,0.1057467226496,0.28773734348556274,-0.11181459225223879,0.2953130208580449,0.7197675704956055
