variant,scale,group,n,mean,ci_lo,ci_hi
unrefined,0,low,37,0.48808926343917847,0.38973297402262685,0.5851365223526954
unrefined,0,high,66,0.39853328466415405,0.311183675378561,0.4811698764562607
unrefined,0.25,low,37,0.5053593516349792,0.40659802928566935,0.603670671582222
unrefined,0.25,high,66,0.40552082657814026,0.31657215654850007,0.4877169944345951
unrefined,0.3,low,37,0.50461745262146,0.4041451923549175,0.603987367451191
unrefined,0.3,high,66,0.4104415774345398,0.3226067051291466,0.4923465169966221
unrefined,0.5,low,37,0.4456096291542053,0.34367010146379473,0.544601458311081
unrefined,0.5,high,66,0.35450848937034607,0.26235581412911413,0.4390545152127743
unrefined,0.7,low,37,0.4095142185688019,0.31191598400473597,0.506719160079956
unrefined,0.7,high,66,0.30631163716316223,0.2167662151157856,0.3908973790705204
unrefined,0.75,low,37,0.40389111638069153,0.3079697243869305,0.5011739388108253
unrefined,0.75,high,66,0.29899972677230835,0.20835437513887883,0.3826419927179812
unrefined,1,low,37,0.3775675594806671,0.2811091847717762,0.4720206186175346
unrefined,1,high,66,0.27283936738967896,0.1837092734873295,0.3574681401252746
refined,0,low,37,0.38894814252853394,0.2830894738435745,0.5046889901161193
refined,0,high,66,0.25988808274269104,0.17148252949118614,0.3480363070964813
refined,0.25,low,37,0.6091619729995728,0.42450055554509164,0.8004941105842587
refined,0.25,high,66,0.9189561605453491,0.8085358679294586,1.0322391659021377
refined,0.3,low,37,0.6059513688087463,0.42241012677550316,0.7982562988996504
refined,0.3,high,66,0.9235713481903076,0.8140936553478241,1.0359494864940644
refined,0.5,low,37,0.5943050384521484,0.40971969813108444,0.7872244223952292
refined,0.5,high,66,0.9234839081764221,0.8105324879288673,1.0370698302984236
refined,0.7,low,37,0.5852296948432922,0.40066568106412886,0.7788079231977463
refined,0.7,high,66,0.9187480807304382,0.8079935878515243,1.0319270491600037
refined,0.75,low,37,0.5870835185050964,0.40219933837652205,0.7812933936715125
refined,0.75,high,66,0.9169174432754517,0.8073804765939713,1.0305812567472459
refined,1,low,37,0.5838687419891357,0.40153736621141434,0.7768608838319778
refined,1,high,66,0.9193060398101807,0.8087095364928245,1.0333897352218628
