variant,scale,n_low,n_high,n_pairs,n_concordant,concordance_rate,p_value
unrefined,0,37,66,2442,1074,0.4398034398034398,0.9999999988618191
unrefined,0.25,37,66,2442,1042,0.4266994266994267,0.9999999999998302
unrefined,0.3,37,66,2442,1064,0.4357084357084357,0.9999999999132024
unrefined,0.5,37,66,2442,1062,0.4348894348894349,0.9999999999491278
unrefined,0.7,37,66,2442,1044,0.4275184275184275,0.9999999999996907
unrefined,0.75,37,66,2442,1043,0.4271089271089271,0.9999999999997706
unrefined,1,37,66,2442,1040,0.4258804258804259,0.9999999999999074
refined,0,37,66,2442,936,0.3832923832923833,1.0
refined,0.25,37,66,2442,1624,0.665028665028665,4.6986605820850665e-61
refined,0.3,37,66,2442,1635,0.6695331695331695,2.1886977694904334e-64
refined,0.5,37,66,2442,1643,0.6728091728091729,7.181676117741958e-67
refined,0.7,37,66,2442,1658,0.678951678951679,1.1473140654902845e-71
refined,0.75,37,66,2442,1652,0.6764946764946765,1.0003614532124944e-69
refined,1,37,66,2442,1660,0.6797706797706797,2.548920869667626e-72
