variant,scale,group,n,mean,ci_lo,ci_hi
unrefined,0,low,37,0.48808926343917847,0.38973297402262685,0.5851365223526954
unrefined,0,high,66,0.39853328466415405,0.311183675378561,0.4811698764562607
unrefined,0.25,low,37,0.5053593516349792,0.40659802928566935,0.603670671582222
unrefined,0.25,high,66,0.40552082657814026,0.31657215654850007,0.4877169944345951
unrefined,0.3,low,37,0.50461745262146,0.4041451923549175,0.603987367451191
unrefined,0.3,high,66,0.4104415774345398,0.3226067051291466,0.4923465169966221
unrefined,0.5,low,37,0.4456096291542053,0.34367010146379473,0.544601458311081
unrefined,0.5,high,66,0.35450848937034607,0.26235581412911413,0.4390545152127743
unrefined,0.7,low,37,0.4095142185688019,0.31191598400473597,0.506719160079956
unrefined,0.7,high,66,0.30631163716316223,0.2167662151157856,0.3908973790705204
unrefined,0.75,low,37,0.40389111638069153,0.3079697243869305,0.5011739388108253
unrefined,0.75,high,66,0.29899972677230835,0.20835437513887883,0.3826419927179812
unrefined,1,low,37,0.3775675594806671,0.2811091847717762,0.4720206186175346
unrefined,1,high,66,0.27283936738967896,0.1837092734873295,0.3574681401252746
refined,0,low,37,0.4148833453655243,0.30164320319890975,0.5395598635077475
refined,0,high,66,0.28720149397850037,0.19659933559596537,0.3776418663561344
refined,0.25,low,37,0.44376224279403687,0.3238321378827095,0.5757901355624199
refined,0.25,high,66,0.32115525007247925,0.2242722764611244,0.41314604580402375
refined,0.3,low,37,0.45721235871315,0.3357175424695015,0.5933442801237105
refined,0.3,high,66,0.3315199315547943,0.23529567271471025,0.42285636290907846
refined,0.5,low,37,0.606162428855896,0.462064478546381,0.7658361092209816
refined,0.5,high,66,0.5373477935791016,0.43804666623473165,0.6352347224950791
refined,0.7,low,37,0.6967260241508484,0.5479403465986252,0.8566664040088652
refined,0.7,high,66,0.6941261887550354,0.5897977173328399,0.7920841112732886
refined,0.75,low,37,0.7068455815315247,0.5568552821874618,0.8681071192026137
refined,0.75,high,66,0.7036179304122925,0.6022599086165428,0.802423931658268
refined,1,low,37,0.719526469707489,0.5723808348178864,0.878839765489101
refined,1,high,66,0.7199029922485352,0.6197061747312546,0.817454420030117
