variant,scale,n_low,n_high,n_pairs,n_concordant,concordance_rate,p_value
unrefined,0,37,66,2442,1074,0.4398034398034398,0.9999999988618191
unrefined,0.25,37,66,2442,1042,0.4266994266994267,0.9999999999998302
unrefined,0.3,37,66,2442,1064,0.4357084357084357,0.9999999999132024
unrefined,0.5,37,66,2442,1062,0.4348894348894349,0.9999999999491278
unrefined,0.7,37,66,2442,1044,0.4275184275184275,0.9999999999996907
unrefined,0.75,37,66,2442,1043,0.4271089271089271,0.9999999999997706
unrefined,1,37,66,2442,1040,0.4258804258804259,0.9999999999999074
refined,0,37,66,2442,961,0.39352989352989354,1.0
refined,0.25,37,66,2442,981,0.40171990171990174,1.0
refined,0.3,37,66,2442,976,0.39967239967239965,1.0
refined,0.5,37,66,2442,1121,0.45904995904995904,0.9999764552895999
refined,0.7,37,66,2442,1216,0.49795249795249796,0.5880727121071718
refined,0.75,37,66,2442,1208,0.49467649467649466,0.7075914558565554
refined,1,37,66,2442,1210,0.4954954954954955,0.679184008031419
