variant,scale,n,lpips,ssim,psnr,cas_accuracy
smooth0 (lambda=0),0,246,0.30625699184895533,0.5034262973175665,21.643816069217767,0.6402439024390244
smooth0 (lambda=0),0.25,246,0.2813942084406934,0.5329280759672247,22.249685041721904,0.7398373983739838
smooth0 (lambda=0),0.3,246,0.2762096346151538,0.5386249778558555,22.368104054266063,0.75
smooth0 (lambda=0),0.5,246,0.25405663724352673,0.5589194531606896,22.79593796909377,0.9065040650406504
smooth0 (lambda=0),0.7,246,0.23396380719675766,0.5746233972591717,23.14625161883366,0.9776422764227642
smooth0 (lambda=0),0.75,246,0.22978462387875812,0.5779301998421422,23.230138963526613,0.9857723577235772
smooth0 (lambda=0),1,246,0.21684762667410257,0.5952394638545333,23.80220707598134,0.9898373983739838
smooth0.25 (production),0,246,0.30620683111795566,0.503519991889609,21.64608851302466,0.6361788617886179
smooth0.25 (production),0.25,246,0.2813471532691785,0.5328847349603024,22.250265533126445,0.7378048780487805
smooth0.25 (production),0.3,246,0.27611892022253054,0.5385828321956724,22.36853992831899,0.7560975609756098
smooth0.25 (production),0.5,246,0.2539278995245695,0.5589844189508777,22.799124407200484,0.9085365853658537
smooth0.25 (production),0.7,246,0.23378568816536327,0.5747107449462938,23.151443762752148,0.9796747967479674
smooth0.25 (production),0.75,246,0.22963190036333672,0.5780226668472584,23.23596883261298,0.983739837398374
smooth0.25 (production),1,246,0.21660283650082301,0.5953810033072361,23.806210092130513,0.9878048780487805
smooth1 (lambda=1.0),0,246,0.30620080320452286,0.5035201018532859,21.64596964821833,0.6361788617886179
smooth1 (lambda=1.0),0.25,246,0.2813371375081985,0.5328605433756025,22.248872997542218,0.7378048780487805
smooth1 (lambda=1.0),0.3,246,0.27612895866840836,0.5385320455159003,22.36656013042023,0.7540650406504065
smooth1 (lambda=1.0),0.5,246,0.253902393128208,0.5589322574889917,22.79775643180347,0.9044715447154471
smooth1 (lambda=1.0),0.7,246,0.2337814197247106,0.5747432112435956,23.154185273813464,0.9776422764227642
smooth1 (lambda=1.0),0.75,246,0.22963658390127548,0.5780757046851822,23.238772727994387,0.9857723577235772
smooth1 (lambda=1.0),1,246,0.21666592371657611,0.595464865847058,23.809090980640146,0.9898373983739838
