scale,local_id,S_real,bucket,P_damaged_production,P_damaged_calibrated
0.5,10,0.0,0_none,0.9418171644210815,0.9043784141540527
0.5,1007,0.0,0_none,0.9198967218399048,0.7066599726676941
0.5,1019,0.0,0_none,0.5927591919898987,0.5766574144363403
0.5,1023,3.0,3_destroyed,0.9143609404563904,0.8772441744804382
0.5,1032,0.0,0_none,0.8956435918807983,0.9216464757919312
0.5,1047,2.0,2_major,0.35668808221817017,0.37096279859542847
0.5,1062,0.891891891891892,1_minor,0.5466207265853882,0.3691639006137848
0.5,1075,0.4390243902439024,0_none,0.9287292957305908,0.6717681288719177
0.5,1100,1.5,2_major,0.8241881728172302,0.8007625341415405
0.5,1115,0.0,0_none,0.3209085166454315,0.32959601283073425
0.5,1129,1.0,1_minor,0.7419865727424622,0.30670255422592163
0.5,1142,1.8000000000000003,2_major,0.3897775411605835,0.21868395805358887
0.5,1154,3.0,3_destroyed,0.9055519700050354,0.8102092146873474
0.5,1173,0.0,0_none,0.7766547203063965,0.7878264784812927
0.5,1189,1.125,1_minor,0.8823831081390381,0.8866473436355591
0.5,1194,0.0,0_none,0.9320546388626099,0.9312530159950256
0.5,1200,0.0,0_none,0.504014790058136,0.5365538597106934
0.5,1215,0.5789473684210527,1_minor,0.3419884443283081,0.4638517498970032
0.5,1225,0.0,0_none,0.5340951681137085,0.4055740237236023
0.5,1227,0.0,0_none,0.13671115040779114,0.07523539662361145
0.5,1247,2.25,2_major,0.8822550177574158,0.650789737701416
0.5,1250,0.0,0_none,0.30751630663871765,0.23799483478069305
0.5,1253,0.7435897435897435,1_minor,0.7472992539405823,0.5743798017501831
0.5,1263,0.0,0_none,0.23697423934936523,0.06211411952972412
0.5,1268,0.8571428571428571,1_minor,0.9940356016159058,0.9939582347869873
0.5,1280,0.0,0_none,0.8367419838905334,0.8100973963737488
0.5,1282,0.0,0_none,0.9426957368850708,0.9375872611999512
0.5,130,1.25,1_minor,0.9422831535339355,0.8930182456970215
0.5,1336,0.0,0_none,0.8877190947532654,0.8565347790718079
0.5,1373,0.0,0_none,0.945293128490448,0.3029463589191437
0.5,138,0.0,0_none,0.5490813255310059,0.3870350122451782
0.5,140,3.0,3_destroyed,0.23900124430656433,0.14689409732818604
0.5,1401,0.13043478260869565,0_none,0.16834323108196259,0.14278525114059448
0.5,146,2.25,2_major,0.6413080096244812,0.3537386953830719
0.5,149,1.2000000000000002,1_minor,0.8946607708930969,0.7646889090538025
0.5,162,0.0,0_none,0.7493146061897278,0.7613406181335449
0.5,171,1.0909090909090908,1_minor,0.5592679381370544,0.23872709274291992
0.5,180,1.7999999999999998,2_major,0.6060943007469177,0.46041178703308105
0.5,191,0.0,0_none,0.9099236726760864,0.7201431393623352
0.5,199,0.0,0_none,0.49690255522727966,0.47505801916122437
0.5,203,1.8571428571428572,2_major,0.528035581111908,0.6536766290664673
0.5,208,0.0,0_none,0.9845232963562012,0.9672480821609497
0.5,218,3.0,3_destroyed,0.9806416630744934,0.969452440738678
0.5,230,3.0,3_destroyed,0.9939622282981873,0.9768735766410828
0.5,234,3.0,3_destroyed,0.9924831986427307,0.8946359753608704
0.5,236,2.5000000000000004,3_destroyed,0.9840260148048401,0.9178131818771362
0.5,239,3.0,3_destroyed,0.16543149948120117,0.18711528182029724
0.5,242,1.1666666666666667,1_minor,0.975679337978363,0.9597267508506775
0.5,251,0.0,0_none,0.8571659326553345,0.8855308294296265
0.5,256,3.0,3_destroyed,0.8861696124076843,0.5054927468299866
0.5,276,0.0,0_none,0.2595013678073883,0.19992247223854065
0.5,277,1.5,2_major,0.9699342250823975,0.9759220480918884
0.5,301,0.23076923076923078,0_none,0.16052505373954773,0.1551101952791214
0.5,305,3.0,3_destroyed,0.9789023995399475,0.9912378191947937
0.5,352,0.75,1_minor,0.7127924561500549,0.6689863204956055
