category,scale,n,cas_accuracy,mean_p_post
SoCal Wildfire (primary),0,246,0.6361788617886179,0.329705337425921
SoCal Wildfire (primary),0.25,246,0.7378048780487805,0.4851459888097777
SoCal Wildfire (primary),0.3,246,0.7560975609756098,0.5302259952295572
SoCal Wildfire (primary),0.5,246,0.9085365853658537,0.7504724125430836
SoCal Wildfire (primary),0.7,246,0.9796747967479674,0.9173693223212792
SoCal Wildfire (primary),0.75,246,0.983739837398374,0.9407734561378394
SoCal Wildfire (primary),1,246,0.9878048780487805,0.9735842411353336
Hurricane,0,97,0.5927835051546392,0.667636996077508
Hurricane,0.25,97,0.5927835051546392,0.6424470715916034
Hurricane,0.3,97,0.5824742268041238,0.6307364977204922
Hurricane,0.5,97,0.5567010309278351,0.5702816790219435
Hurricane,0.7,97,0.4948453608247423,0.5233238944687795
Hurricane,0.75,97,0.4845360824742268,0.509977974074403
Hurricane,1,97,0.44329896907216493,0.4734562628508843
Flooding,0,80,0.625,0.8047973895445466
Flooding,0.25,80,0.54375,0.6611396243795753
Flooding,0.3,80,0.525,0.6317362869158387
Flooding,0.5,80,0.48125,0.5700526589527726
Flooding,0.7,80,0.4875,0.5678469084203244
Flooding,0.75,80,0.5125,0.5739195892587304
Flooding,1,80,0.525,0.6016108516603709
Santa Rosa Wildfire,0,47,0.6595744680851063,0.538708709497401
Santa Rosa Wildfire,0.25,47,0.5957446808510638,0.44213410355943317
Santa Rosa Wildfire,0.3,47,0.5531914893617021,0.41661300541872676
Santa Rosa Wildfire,0.5,47,0.5,0.35410101382814824
Santa Rosa Wildfire,0.7,47,0.5425531914893617,0.3495561099670669
Santa Rosa Wildfire,0.75,47,0.5425531914893617,0.35930020659369355
Santa Rosa Wildfire,1,47,0.5851063829787234,0.42413333264437125
Volcano,0,4,0.75,0.5454972330480814
Volcano,0.25,4,0.5,0.4047952853143215
Volcano,0.3,4,0.5,0.42008383572101593
Volcano,0.5,4,0.625,0.49389468505978584
Volcano,0.7,4,0.625,0.5843612030148506
Volcano,0.75,4,0.625,0.6043593212962151
Volcano,1,4,0.875,0.6730926483869553
