category,scale,n,cas_accuracy,mean_p_post
SoCal Wildfire (primary),0,246,0.709349593495935,0.43211541965516753
SoCal Wildfire (primary),0.25,246,0.8150406504065041,0.6027482468114288
SoCal Wildfire (primary),0.3,246,0.8313008130081301,0.6441989641719899
SoCal Wildfire (primary),0.5,246,0.959349593495935,0.8369280552658124
SoCal Wildfire (primary),0.7,246,0.991869918699187,0.9607201254343599
SoCal Wildfire (primary),0.75,246,0.9959349593495935,0.9743310544427818
SoCal Wildfire (primary),1,246,0.9979674796747967,0.9910183624038852
Hurricane,0,97,0.6134020618556701,0.7719931373583901
Hurricane,0.25,97,0.5979381443298969,0.7545550600769594
Hurricane,0.3,97,0.5927835051546392,0.7448988421676085
Hurricane,0.5,97,0.5824742268041238,0.7077796367025867
Hurricane,0.7,97,0.5670103092783505,0.6742428112583062
Hurricane,0.75,97,0.5515463917525774,0.6628507980212723
Hurricane,1,97,0.5051546391752577,0.6229492129431558
Flooding,0,80,0.56875,0.9332996932789683
Flooding,0.25,80,0.55,0.84306630641222
Flooding,0.3,80,0.54375,0.8188595550134778
Flooding,0.5,80,0.5375,0.7597959715873003
Flooding,0.7,80,0.55625,0.7408601753413677
Flooding,0.75,80,0.55,0.739975206553936
Flooding,1,80,0.55,0.7339802246540785
Santa Rosa Wildfire,0,47,0.6914893617021277,0.6386841651290021
Santa Rosa Wildfire,0.25,47,0.6170212765957447,0.5562644371009887
Santa Rosa Wildfire,0.3,47,0.6170212765957447,0.5427534095942974
Santa Rosa Wildfire,0.5,47,0.5851063829787234,0.5062717717695744
Santa Rosa Wildfire,0.7,47,0.5851063829787234,0.5006415774213507
Santa Rosa Wildfire,0.75,47,0.574468085106383,0.5045400874570329
Santa Rosa Wildfire,1,47,0.5851063829787234,0.5576546205643643
Volcano,0,4,0.75,0.651094313710928
Volcano,0.25,4,0.625,0.5019165426492691
Volcano,0.3,4,0.625,0.5148214399814606
Volcano,0.5,4,0.625,0.5623400583863258
Volcano,0.7,4,0.625,0.6134707406163216
Volcano,0.75,4,0.625,0.6417455300688744
Volcano,1,4,0.75,0.6887844651937485
