category,scale,n,cas_accuracy,mean_p_post
SoCal Wildfire (primary),0,246,0.6361788617886179,0.329705337425921
SoCal Wildfire (primary),0.25,246,0.7378048780487805,0.4851459888097777
SoCal Wildfire (primary),0.5,246,0.9085365853658537,0.7504724125430836
SoCal Wildfire (primary),0.75,246,0.983739837398374,0.9407734561378394
SoCal Wildfire (primary),1,246,0.9878048780487805,0.9735842411353336
Hurricane,0,97,0.4793814432989691,0.11455537522566918
Hurricane,0.25,97,0.520618556701031,0.22032090793027706
Hurricane,0.5,97,0.7628865979381443,0.5607889456693659
Hurricane,0.75,97,0.9381443298969072,0.9168342256668917
Hurricane,1,97,0.9536082474226805,0.980434253658216
Flooding,0,80,0.50625,0.04313767546773306
Flooding,0.25,80,0.54375,0.1908865032310132
Flooding,0.5,80,0.96875,0.8528841361403465
Flooding,0.75,80,1.0,0.9871485866606236
Flooding,1,80,1.0,0.9919852308928967
Santa Rosa Wildfire,0,47,0.5,0.24794375547703276
Santa Rosa Wildfire,0.25,47,0.5,0.2844068151205144
Santa Rosa Wildfire,0.5,47,0.5531914893617021,0.3513893168023292
Santa Rosa Wildfire,0.75,47,0.6595744680851063,0.46158026634378635
Santa Rosa Wildfire,1,47,0.723404255319149,0.5139880281813601
Volcano,0,4,0.5,0.5481990203261375
Volcano,0.25,4,0.625,0.6157295107841492
Volcano,0.5,4,0.5,0.6125419437885284
Volcano,0.75,4,0.5,0.5831858068704605
Volcano,1,4,0.5,0.5691267251968384
