category,scale,n,cas_accuracy,mean_p_post
SoCal Wildfire (primary),0,246,0.709349593495935,0.43211541965516753
SoCal Wildfire (primary),0.25,246,0.8150406504065041,0.6027482468114288
SoCal Wildfire (primary),0.5,246,0.959349593495935,0.8369280552658124
SoCal Wildfire (primary),0.75,246,0.9959349593495935,0.9743310544427818
SoCal Wildfire (primary),1,246,0.9979674796747967,0.9910183624038852
Hurricane,0,97,0.5,0.031141748539422347
Hurricane,0.25,97,0.5,0.07062243847728505
Hurricane,0.5,97,0.6855670103092784,0.39495607665211885
Hurricane,0.75,97,0.9639175257731959,0.9138540352128216
Hurricane,1,97,0.9948453608247423,0.9913909926856916
Flooding,0,80,0.5,0.031577886889135695
Flooding,0.25,80,0.525,0.15467782642226666
Flooding,0.5,80,0.95625,0.7869464907795191
Flooding,0.75,80,1.0,0.9794915586709976
Flooding,1,80,1.0,0.9863849267363548
Santa Rosa Wildfire,0,47,0.48936170212765956,0.07845516711909403
Santa Rosa Wildfire,0.25,47,0.5,0.13142865777332732
Santa Rosa Wildfire,0.5,47,0.5638297872340425,0.2526478427363203
Santa Rosa Wildfire,0.75,47,0.7659574468085106,0.5267442052668714
Santa Rosa Wildfire,1,47,0.8617021276595744,0.6534126862249476
Volcano,0,4,0.75,0.4017639681696892
Volcano,0.25,4,0.875,0.6336753368377686
Volcano,0.5,4,1.0,0.7732639461755753
Volcano,0.75,4,1.0,0.829877033829689
Volcano,1,4,1.0,0.792632132768631
