split,scale,n,cas_accuracy,mean_p_post
train,0,769,0.6612483745123537,0.37552824593028017
train,0.25,769,0.6488946684005201,0.3630909103198069
train,0.3,769,0.6423927178153446,0.3525166415174338
train,0.5,769,0.6508452535760728,0.3628767107679086
train,0.7,769,0.6703511053315995,0.3991241446924511
train,0.75,769,0.6755526657997399,0.4044631661685857
train,1,769,0.6963589076723017,0.42930734968805984
test,0,246,0.6524390243902439,0.37033063853247095
test,0.25,246,0.6524390243902439,0.36110506878067394
test,0.3,246,0.6483739837398373,0.35003786797898373
test,0.5,246,0.6544715447154471,0.35946501378244217
test,0.7,246,0.6686991869918699,0.393957047105428
test,0.75,246,0.6707317073170732,0.39942448396056823
test,1,246,0.6849593495934959,0.4205007438033978
