split,scale,n,cas_accuracy,mean_p_post
train,0,769,0.6365409622886866,0.32962935456160763
train,0.25,769,0.711963589076723,0.46515026116702507
train,0.3,769,0.7405721716514955,0.5093390896385935
train,0.5,769,0.9063719115734721,0.7362294668871885
train,0.7,769,0.9837451235370611,0.9081297598692003
train,0.75,769,0.988296488946684,0.9304179036590151
train,1,769,0.9947984395318595,0.9663072525679832
test,0,246,0.6361788617886179,0.329705337425921
test,0.25,246,0.7378048780487805,0.4851459888097777
test,0.3,246,0.7560975609756098,0.5302259952295572
test,0.5,246,0.9085365853658537,0.7504724125430836
test,0.7,246,0.9796747967479674,0.9173693223212792
test,0.75,246,0.983739837398374,0.9407734561378394
test,1,246,0.9878048780487805,0.9735842411353336
