variant,scale,n,rho,p,ci_lo,ci_hi,mean_Shat
unrefined,0,73,0.23157815361795342,0.04868487660560039,-0.002073450016169423,0.45936246654809093,0.2879790961742401
unrefined,0.25,73,0.24206533571750932,0.03908370556250588,0.010295260787244565,0.46186416792201856,0.31466832756996155
unrefined,0.3,73,0.25524874917704565,0.02929860874309756,0.02183129399998296,0.4779384889667516,0.3230854570865631
unrefined,0.5,73,0.26725773057180524,0.02226662676515907,0.04266865579866519,0.4843388509289391,0.3242276608943939
unrefined,0.7,73,0.2792832532632519,0.016718737094730485,0.058505701101936355,0.4880573810734306,0.3028711676597595
unrefined,0.75,73,0.26227880026901923,0.02498510266321905,0.03884842521367436,0.4753356284038769,0.29662206768989563
unrefined,1,73,0.25895399963493293,0.026952914682735526,0.026390636496269854,0.4736549014292611,0.27453503012657166
refined,0,73,0.16539642557327974,0.1619902375337048,-0.10005236416876882,0.40043289446852415,0.2680929899215698
refined,0.25,73,0.1655287559467757,0.16165000744366603,-0.10467990896607603,0.39998869887225225,0.2803037166595459
refined,0.3,73,0.17960539942740988,0.1283962824413616,-0.08706304254892153,0.4168978946751305,0.2713681161403656
refined,0.5,73,0.308247063762183,0.007974500297547135,0.049543186118978205,0.5205042885075694,0.26694533228874207
refined,0.7,73,0.367894979615493,0.0013640927516137143,0.13652057804017,0.5763874085382128,0.31576648354530334
refined,0.75,73,0.38001975008706157,0.0009125141669903111,0.14983704379552681,0.5834591740952199,0.33096325397491455
refined,1,73,0.3893325001218407,0.0006630194543631677,0.1715523864691302,0.5847984187382391,0.34425610303878784
