variant,scale,group,n,mean,ci_lo,ci_hi
unrefined,0,low,37,0.25897517800331116,0.19184712916612626,0.32882126346230506
unrefined,0,high,36,0.317788690328598,0.2483441334217787,0.3884268172085285
unrefined,0.25,low,37,0.28426674008369446,0.21405887492001058,0.3553053617477417
unrefined,0.25,high,36,0.34591448307037354,0.2734985902905464,0.4192362919449806
unrefined,0.3,low,37,0.2900780439376831,0.219545191898942,0.362822289019823
unrefined,0.3,high,36,0.35700979828834534,0.28121856078505514,0.4330172888934612
unrefined,0.5,low,37,0.2908831834793091,0.2158776879310608,0.36592658534646033
unrefined,0.5,high,36,0.35849830508232117,0.272013645619154,0.4413321368396282
unrefined,0.7,low,37,0.2676147222518921,0.19609302692115307,0.3412490852177143
unrefined,0.7,high,36,0.33910703659057617,0.24983009919524193,0.4243640430271624
unrefined,0.75,low,37,0.26316866278648376,0.19221018254756927,0.33414627686142917
unrefined,0.75,high,36,0.33100470900535583,0.24250532798469066,0.4144953310489654
unrefined,1,low,37,0.24111144244670868,0.17493584305047988,0.3102729924023151
unrefined,1,high,36,0.3088870942592621,0.21868785992264747,0.3932837538421154
refined,0,low,37,0.24778804183006287,0.18806108869612218,0.3092520415782928
refined,0,high,36,0.2889620363712311,0.20506822764873506,0.3718990921974182
refined,0.25,low,37,0.2509281039237976,0.17836150899529457,0.32488432675600054
refined,0.25,high,36,0.3104952573776245,0.20781341306865214,0.4134825445711613
refined,0.3,low,37,0.236795574426651,0.1611551258713007,0.3177173197269439
refined,0.3,high,36,0.3069009482860565,0.19816094413399696,0.4146208979189395
refined,0.5,low,37,0.2023182064294815,0.12106066066771745,0.292378693819046
refined,0.5,high,36,0.3333676755428314,0.22187528908252716,0.44638128727674475
refined,0.7,low,37,0.2356339544057846,0.15077613554894925,0.3283860728144646
refined,0.7,high,36,0.39812496304512024,0.27644760087132453,0.517269304394722
refined,0.75,low,37,0.24458076059818268,0.16051725223660468,0.33876528069376943
refined,0.75,high,36,0.41974520683288574,0.2903913170099258,0.5440444946289062
refined,1,low,37,0.27884528040885925,0.20917605198919773,0.354001497477293
refined,1,high,36,0.41148391366004944,0.30234927088022234,0.5148167654871939
