variant,scale,n_low,n_high,n_pairs,n_concordant,concordance_rate,p_value
unrefined,0,37,36,1332,750,0.5630630630630631,2.308129635069001e-06
unrefined,0.25,37,36,1332,748,0.5615615615615616,3.883727709652972e-06
unrefined,0.3,37,36,1332,756,0.5675675675675675,4.514723807229121e-07
unrefined,0.5,37,36,1332,748,0.5615615615615616,3.883727709652972e-06
unrefined,0.7,37,36,1332,753,0.5653153153153153,1.0344410354037892e-06
unrefined,0.75,37,36,1332,740,0.5555555555555556,2.7695889102046362e-05
unrefined,1,37,36,1332,734,0.551051051051051,0.00010698575523489282
refined,0,37,36,1332,690,0.5180180180180181,0.09889995103046272
refined,0.25,37,36,1332,690,0.5180180180180181,0.09889995103046272
refined,0.3,37,36,1332,703,0.5277777777777778,0.022719725124295376
refined,0.5,37,36,1332,789,0.5923423423423423,8.384937768758345e-12
refined,0.7,37,36,1332,838,0.6291291291291291,1.6819835069558048e-21
refined,0.75,37,36,1332,848,0.6366366366366366,6.97410703161978e-24
refined,1,37,36,1332,854,0.6411411411411412,2.224071206941689e-25
