variant,scale,group,n,mean,ci_lo,ci_hi
unrefined,0,low,37,0.3069693148136139,0.2477272916585207,0.36294249817728996
unrefined,0,high,66,0.33558744192123413,0.2943935260176659,0.3764635637402534
unrefined,0.25,low,37,0.32131442427635193,0.2616683512926102,0.3791757278144359
unrefined,0.25,high,66,0.3539923131465912,0.3132211945950985,0.3958104982972145
unrefined,0.3,low,37,0.32346540689468384,0.26389176174998286,0.38156558722257616
unrefined,0.3,high,66,0.3572123944759369,0.31617213785648346,0.40050257220864294
unrefined,0.5,low,37,0.29249972105026245,0.2296438418328762,0.3547265782952308
unrefined,0.5,high,66,0.3427192270755768,0.3019297868013382,0.38509964421391485
unrefined,0.7,low,37,0.27437490224838257,0.20866884775459765,0.339786597341299
unrefined,0.7,high,66,0.32192671298980713,0.27752308174967766,0.36631145328283304
unrefined,0.75,low,37,0.27073177695274353,0.20604599192738532,0.33489918112754813
unrefined,0.75,high,66,0.3186391294002533,0.27260559126734735,0.36384936422109604
unrefined,1,low,37,0.2663792669773102,0.1992525726556778,0.33185081034898756
unrefined,1,high,66,0.3027857542037964,0.25608628392219546,0.3486615158617496
refined,0,low,37,0.13551287353038788,0.06183656100183725,0.20885244011878967
refined,0,high,66,0.20873789489269257,0.15045408569276333,0.2687604710459709
refined,0.25,low,37,0.1832921802997589,0.09626260548830033,0.26442941203713416
refined,0.25,high,66,0.26258987188339233,0.20260350219905376,0.3265002183616161
refined,0.3,low,37,0.19374163448810577,0.10245314501225948,0.2767982326447963
refined,0.3,high,66,0.27823466062545776,0.21735805533826352,0.34295062497258183
refined,0.5,low,37,0.2625741958618164,0.16343250051140784,0.3566835865378379
refined,0.5,high,66,0.37693673372268677,0.30935667976737025,0.45162185057997695
refined,0.7,low,37,0.379595011472702,0.2619811505079269,0.4928943984210491
refined,0.7,high,66,0.5045731663703918,0.4277101747691631,0.5910739347338676
refined,0.75,low,37,0.4141758978366852,0.2922404743731022,0.5315618395805359
refined,0.75,high,66,0.5334838032722473,0.4530098795890808,0.6208361893892288
refined,1,low,37,0.4501749873161316,0.3106678739190102,0.5945277750492095
refined,1,high,66,0.6472741365432739,0.5491454705595971,0.746214009821415
