variant,scale,n_low,n_high,n_pairs,n_concordant,concordance_rate,p_value
unrefined,0,37,66,2442,1256,0.5143325143325144,0.0813064771124291
unrefined,0.25,37,66,2442,1261,0.5163800163800164,0.054939406611750466
unrefined,0.3,37,66,2442,1248,0.5110565110565111,0.1417433453719027
unrefined,0.5,37,66,2442,1319,0.5401310401310402,3.940185804109832e-05
unrefined,0.7,37,66,2442,1334,0.5462735462735463,2.6043503873135e-06
unrefined,0.75,37,66,2442,1329,0.5442260442260443,6.701058694140626e-06
unrefined,1,37,66,2442,1284,0.5257985257985258,0.005703435724092552
refined,0,37,66,2442,1392,0.5700245700245701,2.3965768160672273e-12
refined,0.25,37,66,2442,1361,0.5573300573300574,7.936345237508515e-09
refined,0.3,37,66,2442,1357,0.5556920556920557,2.015903350086352e-08
refined,0.5,37,66,2442,1441,0.5900900900900901,2.6084921966902723e-19
refined,0.7,37,66,2442,1437,0.5884520884520884,1.121381069344536e-18
refined,0.75,37,66,2442,1423,0.5827190827190827,1.4970233265742917e-16
refined,1,37,66,2442,1546,0.633087633087633,3.734739788593352e-40
