control,scale,metric,n,ours_mean,control_mean,mean_diff,ci95_lo,ci95_hi,wilcoxon_stat,p_raw,rank_biserial_r,p_holm
Naive-interp + refiner s0.25,0.25,lpips,246,0.2813471532691785,0.2809960627398355,0.00035109052934297703,0.00014850271153983065,0.0005490300480306632,10342.0,1.42587569632111e-05,0.31917975050195846,0.00019962259748495539
Naive-interp + refiner s0.25,0.25,ssim,246,0.5328847349603024,0.5327737373686822,0.00011099759162024713,2.994991205181203e-05,0.00020235544513700322,13269.0,0.08544822779363147,0.12649353214179915,0.5707515337047233
Naive-interp + refiner s0.25,0.25,psnr,246,22.250265533126445,22.238261182819695,0.012004350306747812,0.0032607480809730516,0.021821640475417434,14315.0,0.4332453565949802,0.057634705901714885,1.0
Naive-interp + refiner s0.25,0.25,clip_i,246,0.8890817281676502,0.8881538471555323,0.0009278810121179596,0.0004649418640912064,0.0014017591146918817,10197.0,7.835648681622215e-06,0.32872519008590895,0.00012537037890595544
Naive-interp + refiner s0.25,0.25,dino_i,246,0.7349960183709617,0.7338328853370698,0.0011631330338920036,0.0007259471750840908,0.001607029485266383,9604.5,5.734031185851517e-07,0.3677298311444653,9.747853015947579e-06
Naive-interp + refiner s0.5,0.5,lpips,246,0.2539278995245695,0.2527449212029455,0.001182978321623996,0.0008701961707111781,0.001489108594937053,6021.0,2.258096779304197e-16,0.6036338501036832,4.516193558608394e-15
Naive-interp + refiner s0.5,0.5,ssim,246,0.5589844189508777,0.5585069875946754,0.0004774313562022597,0.000273527382280756,0.0007117130329153459,10834.0,9.64096798201332e-05,0.28679108653434715,0.0011569161578415983
Naive-interp + refiner s0.5,0.5,psnr,246,22.799124407200484,22.75636781998398,0.042756587216509274,0.02168031757294383,0.06768504687799366,12408.0,0.012753311807280631,0.183173694085119,0.10202649445824505
Naive-interp + refiner s0.5,0.5,clip_i,246,0.9090050156038951,0.9086133624480023,0.00039165315589284507,-0.00023570410240956438,0.0010146169703665786,13813.0,0.2175814184239815,0.0906816760475297,1.0
Naive-interp + refiner s0.5,0.5,dino_i,246,0.7637177515562957,0.762794177222058,0.0009235743342376337,0.00035995973380115946,0.001508279938281067,12029.0,0.004657371932673918,0.20812349823903098,0.04191634739406526
Naive-interp + refiner s0.75,0.75,lpips,246,0.22963190036333672,0.22875093800447335,0.0008809623588633732,0.0005885830368634646,0.0011654191998749727,8246.0,5.101690410228873e-10,0.45716072545340836,9.18304273841197e-09
Naive-interp + refiner s0.75,0.75,ssim,246,0.5780226668472584,0.5773430573591575,0.0006796094881010707,0.00048501443705606666,0.0008888612678635432,7837.0,4.6405039114989624e-11,0.48408544814193083,8.816957431848028e-10
Naive-interp + refiner s0.75,0.75,psnr,246,23.23596883261298,23.184852166865188,0.051116665747800244,0.03091065603990614,0.07343194391948334,10245.0,9.570262818742448e-06,0.32556532043053227,0.00014355394228113673
Naive-interp + refiner s0.75,0.75,clip_i,246,0.9253817990543397,0.9250292283732716,0.0003525706810679862,-0.00027233944312343754,0.0009819052628869931,13793.0,0.21097584565494742,0.09199828840393667,1.0
Naive-interp + refiner s0.75,0.75,dino_i,246,0.7894808463449401,0.7882893625798264,0.0011914837651136444,0.0005165459785034986,0.0018724163070442227,11725.0,0.0019226322499529024,0.22813600605641685,0.019226322499529023
No-progression control s1,1.0 (endpoint control),lpips,246,0.21660283650082301,0.21651145852193598,9.137797888701525e-05,9.798558383453188e-07,0.00017985666352437758,13244.5,0.08153593338638904,0.12810638227839768,0.5707515337047233
No-progression control s1,1.0 (endpoint control),ssim,246,0.5953810033072361,0.595266129916364,0.00011487339087222831,5.675858668015114e-05,0.00017173098369179733,10628.0,4.4297017059762294e-05,0.30035219380533884,0.0005758612217769098
No-progression control s1,1.0 (endpoint control),psnr,246,23.806210092130513,23.80770167794555,-0.0014915858150344196,-0.005549760733595214,0.002460746500542669,14713.0,0.669084431804493,-0.03143412000921628,1.0
No-progression control s1,1.0 (endpoint control),clip_i,246,0.9281276265780131,0.9277424165388433,0.00038521003916980773,-6.689515903713255e-05,0.0008553136109821195,13953.0,0.2680033186400482,0.08146538955268096,1.0
No-progression control s1,1.0 (endpoint control),dino_i,246,0.7985859572645125,0.7980572892640664,0.0005286680004461025,0.00023167345945428059,0.0008274415401908438,11523.0,0.001028040783017344,0.24143379085612718,0.011308448613190783
