variant,scale,n,rho,p,ci_lo,ci_hi,mean_Shat
unrefined,0,73,0.035878072514095784,0.7631487142507473,-0.19405861284613501,0.2717475613329524,0.6909066438674927
unrefined,0.25,73,0.043205866946435315,0.7166428475191986,-0.19034510810093858,0.2788010064107606,0.6924921870231628
unrefined,0.3,73,0.03136229851854569,0.7922427135930197,-0.20045086939678514,0.26843542790432956,0.6913751363754272
unrefined,0.5,73,0.052634406058023414,0.6583058044093393,-0.1783206372467315,0.2920952628574844,0.6925267577171326
unrefined,0.7,73,0.057811831921053373,0.6270906902285885,-0.1768397459070773,0.2912426369622648,0.6947640776634216
unrefined,0.75,73,0.050467496192026846,0.6715493826487816,-0.18319345996748687,0.28427655016908565,0.6949450373649597
unrefined,1,73,0.06472609393621798,0.5864098213013816,-0.17361115688280945,0.30210896303403006,0.6958808898925781
refined,0,73,-0.01817888505900934,0.8786725236482943,-0.26101102117602715,0.23148413609234914,0.7495644092559814
refined,0.25,73,0.0675711969663814,0.5700255889193928,-0.17869181851746568,0.3045585360748266,0.5136820077896118
refined,0.3,73,0.09486433649992591,0.42467638237274696,-0.15319237527536356,0.3316158709735337,0.4578610360622406
refined,0.5,73,0.13785516658943026,0.2448016025926072,-0.11239084625074514,0.37055772160813094,0.3768772482872009
refined,0.7,73,0.13211533663904243,0.2651918738065063,-0.09443891693506393,0.3601535760998714,0.4744791090488434
refined,0.75,73,0.10118311183435864,0.3943380781969731,-0.13354268614386286,0.32691384300758103,0.4967673420906067
refined,1,73,0.2668111155612563,0.022499735347478414,0.01863194586929355,0.49188159238819235,0.19985033571720123
