variant,scale,n,rho,p,ci_lo,ci_hi,mean_Shat
unrefined,0,103,-0.02292868235512094,0.818176475702919,-0.21844861076270083,0.16168778226862046,0.39245226979255676
unrefined,0.25,103,-0.02446026428061035,0.8062616058121319,-0.22034302441855597,0.158657232694976,0.39323747158050537
unrefined,0.3,103,-0.026932192461823046,0.7871255723879962,-0.22559245105219433,0.15978694797278659,0.3938623368740082
unrefined,0.5,103,-0.029578675936014313,0.7667779571739144,-0.22691511473236686,0.15864201635940445,0.3899577260017395
unrefined,0.7,103,-0.014285379944730309,0.8861174710790128,-0.21365982810410125,0.17828080692346077,0.3886324465274811
unrefined,0.75,103,-0.017556883984102916,0.8602767525842681,-0.22004736869682673,0.17342253244446323,0.3868500292301178
unrefined,1,103,-0.04116689506343054,0.6796985273760788,-0.24025280457738651,0.15289226469808245,0.3848404884338379
refined,0,103,0.21428632998685715,0.02973953536031027,0.02166441203144865,0.39060047933595216,0.1910240799188614
refined,0.25,103,0.17043916655382013,0.08520066185371139,-0.01745848830983871,0.3577278969382152,0.28853175044059753
refined,0.3,103,0.1533834251850428,0.12190127159821067,-0.0389953127119703,0.3397473384499271,0.3165246844291687
refined,0.5,103,0.1497233948483953,0.13116993953577716,-0.05369924749595234,0.34483384957166435,0.47069188952445984
refined,0.7,103,0.07924247219636958,0.4262293197328394,-0.1303451106484312,0.26329058480932555,0.7204803824424744
refined,0.75,103,0.05089694494301035,0.6096489450974066,-0.15523027638982398,0.24403534954778608,0.7839567065238953
refined,1,103,0.30020694984363283,0.00206321233073082,0.10614210306202218,0.4576201694607769,0.5111419558525085
