variant,scale,n,rho,p,ci_lo,ci_hi,mean_Shat
unrefined,0,73,0.03018786645376893,0.7998576977825086,-0.21812539307753318,0.2902217433927137,0.6552783846855164
unrefined,0.25,73,0.045968263493163755,0.6993645254118297,-0.20371294409918714,0.31057661958154026,0.6615537405014038
unrefined,0.3,73,0.034041988581839155,0.7749411920708229,-0.21153219220737937,0.2922807347624129,0.6615316867828369
unrefined,0.5,73,0.05149305658662064,0.6652686763941499,-0.20022410728951204,0.30540294512452437,0.6310155391693115
unrefined,0.7,73,0.04778780612873339,0.6880656216623273,-0.20885892276255194,0.30328959085459956,0.5826342105865479
unrefined,0.75,73,0.048184797249221305,0.6856093328880065,-0.2146316700691571,0.2969204949042338,0.5703800916671753
unrefined,1,73,0.07130953001764266,0.548828158396763,-0.1855043594974162,0.3211201596369069,0.5335509181022644
refined,0,73,0.01485408442492301,0.9007375402194091,-0.23291440679569186,0.2642218615541068,0.7532582879066467
refined,0.25,73,0.11329134100924021,0.3399156676947034,-0.13080618379242484,0.35008405145375493,0.6093806624412537
refined,0.3,73,0.13457998984540492,0.25630035775594984,-0.11423986826181043,0.3705266024796422,0.542327880859375
refined,0.5,73,0.2806892634816465,0.016155253434119027,0.046703872190552415,0.4950881118412274,0.2742217481136322
refined,0.7,73,0.31997484311326363,0.005786613053145534,0.09055403248677159,0.533770072099034,0.17686329782009125
refined,0.75,73,0.3273191788422901,0.004703609341720018,0.09336011188737502,0.5410277492032028,0.1726778745651245
refined,1,73,0.4939892842604686,8.937923731584016e-06,0.28264675722284344,0.6638599039247574,0.20861923694610596
