variant,scale,n,rho,p,ci_lo,ci_hi,mean_Shat
unrefined,0,103,0.06735018901021649,0.499068633262676,-0.13083755960988022,0.25493707216536293,0.325307160615921
unrefined,0.25,103,0.04383590180123195,0.6601777440748614,-0.16131502526352412,0.2333856976294658,0.3422536253929138
unrefined,0.3,103,0.026830837775577425,0.7879077934233186,-0.16696537089878705,0.214615428362078,0.34508970379829407
unrefined,0.5,103,0.07489548231961286,0.45211930367800873,-0.12730944661693622,0.2641756885739092,0.32467928528785706
unrefined,0.7,103,0.09656286191256605,0.3318891877095572,-0.10552784478352947,0.28906771662713326,0.30484500527381897
unrefined,0.75,103,0.0841919593746975,0.3978151664712274,-0.11640728958722696,0.27593856665533467,0.3014296889305115
unrefined,1,103,0.055142580133521454,0.5801077479055458,-0.14467382784262406,0.24215611284003602,0.2897077202796936
refined,0,103,0.20185348847406073,0.04088586861622362,0.009364000740834837,0.3760402127946092,0.18243375420570374
refined,0.25,103,0.1931088313774245,0.050658718204383196,0.004192574016087002,0.3706644072577259,0.2341042459011078
refined,0.3,103,0.18742170731586455,0.05799389397298427,-0.003950402022638885,0.3668353867180591,0.24788278341293335
refined,0.5,103,0.246798661008092,0.011965220482419082,0.04549496228521389,0.41974931485858036,0.33585497736930847
refined,0.7,103,0.2539385355725059,0.009644626251589147,0.05573726921284855,0.4267479359878472,0.45967817306518555
refined,0.75,103,0.2517537790023225,0.010308698464825522,0.05496931275877868,0.423706559759687,0.49062561988830566
refined,1,103,0.3918090629460658,4.262210545933267e-05,0.197408272159372,0.5387617653851724,0.5764715075492859
