variant,scale,n,rho,p,ci_lo,ci_hi,mean_Shat
unrefined,0,103,-0.018744986139537723,0.8509271439427439,-0.21175109554023172,0.16388554848412012,0.42293092608451843
unrefined,0.25,103,-0.023688842501963108,0.8122574922986745,-0.22037198599952273,0.15665913055935302,0.4209595024585724
unrefined,0.3,103,-0.03094133338442769,0.7563616019482738,-0.2284894119283388,0.1523311522991052,0.42106905579566956
unrefined,0.5,103,-0.041634252783340917,0.6762645593176565,-0.24098691234341993,0.14340280589412338,0.41943517327308655
unrefined,0.7,103,-0.04926963914717785,0.6211437198119216,-0.24563702308644114,0.13777539948270692,0.4156259298324585
unrefined,0.75,103,-0.0491964385404449,0.6216629613072386,-0.2472849998097459,0.1374969162122167,0.4156840443611145
unrefined,1,103,-0.058239528879915486,0.5589852075014026,-0.25485642996355823,0.12558182868862688,0.41279587149620056
refined,0,103,0.20772642946040434,0.035248793218443736,0.01587740423326999,0.38497466223983434,0.19001683592796326
refined,0.25,103,0.17536049965263542,0.07643591014097019,-0.016229661375129167,0.3627480880015312,0.30357062816619873
refined,0.3,103,0.18547907582949008,0.06069037938356329,-0.00798233400797104,0.37190969310593075,0.3306732773780823
refined,0.5,103,0.1532989629465048,0.12210932123336682,-0.05603432521441216,0.3535178749907257,0.48921528458595276
refined,0.7,103,0.09955845597271445,0.31703704575702857,-0.10798742020896732,0.2915188067424825,0.7188263535499573
refined,0.75,103,0.08251960705164474,0.40728759685475585,-0.1269802982459736,0.2765669554127108,0.7677890658378601
refined,1,103,0.30966108974398837,0.0014576669159395788,0.11916931272696221,0.4633660893933442,0.5250325202941895
