baseline,metric,n,ours_mean,baseline_mean,median_diff,wilcoxon_stat,p_raw,rank_biserial_r,p_holm
ControlNet,lpips,246,0.21660283650082301,0.45193027644380324,-0.23204009979963303,0.0,4.180735372281383e-42,-1.0,8.361470744562767e-41
ControlNet,ssim,246,0.5953810033072361,0.3812734595779065,0.2063585820946371,0.0,4.180735372281383e-42,1.0,8.361470744562767e-41
ControlNet,psnr,246,23.806210092130513,17.37508627081814,6.391843934519267,10.0,4.724692748364257e-42,0.9993416938217965,8.361470744562767e-41
ControlNet,clip_i,246,0.9281276265780131,0.8436675931864638,0.08010569214820862,259.0,9.681072168042434e-41,0.9829498699845298,4.840536084021218e-40
ControlNet,dino_i,246,0.7985859572645125,0.5993409764960529,0.1947501301765442,11.0,4.78277246785198e-42,0.9992758632039762,8.361470744562767e-41
Pix2Pix,lpips,246,0.21660283650082301,0.3022146318259278,-0.07361505925655365,0.0,4.180735372281383e-42,-1.0,8.361470744562767e-41
Pix2Pix,ssim,246,0.5953810033072361,0.4728995778193686,0.11161878117892432,0.0,4.180735372281383e-42,1.0,8.361470744562767e-41
Pix2Pix,psnr,246,23.806210092130513,21.80024930537166,1.7461523833230732,100.0,1.415481090804168e-41,0.9934169382179652,8.492886544825008e-41
Pix2Pix,clip_i,246,0.9281276265780131,0.9024815685380765,0.01502564549446106,7592.0,1.0365596180309167e-11,0.5002139495079161,4.146238472123667e-11
Pix2Pix,dino_i,246,0.7985859572645125,0.7560040175430174,0.02103552222251892,9106.0,5.1466556712507424e-08,0.4005463941279089,1.5439967013752228e-07
CycleGAN,lpips,246,0.21660283650082301,0.2738846863915281,-0.05462227016687393,27.0,5.81566862575109e-42,-0.9982225733188506,8.361470744562767e-41
CycleGAN,ssim,246,0.5953810033072361,0.5182360939561503,0.07280234865193844,87.0,1.2084957210992033e-41,0.9942727362496298,8.459470047694423e-41
CycleGAN,psnr,246,23.806210092130513,21.801584420424224,1.9721683653373852,17.0,5.146803662423517e-42,0.9988808794970541,8.361470744562767e-41
CycleGAN,clip_i,246,0.9281276265780131,0.9311846232995754,-0.004820674657821655,12377.0,0.011791198990573324,-0.1852144432375498,0.011791198990573324
CycleGAN,dino_i,246,0.7985859572645125,0.8127003064969691,-0.014754831790924072,9933.0,2.5271190450125097e-06,-0.3461044731904809,5.054238090025019e-06
Palette,lpips,246,0.21660283650082301,0.6016213944772395,-0.37308137118816376,0.0,4.180735372281383e-42,-1.0,8.361470744562767e-41
Palette,ssim,246,0.5953810033072361,0.3212978298801541,0.2555156518605171,0.0,4.180735372281383e-42,1.0,8.361470744562767e-41
Palette,psnr,246,23.806210092130513,16.26900418267178,7.478375913918435,7.0,4.5545024264675445e-42,0.9995391856752576,8.361470744562767e-41
Palette,clip_i,246,0.9281276265780131,0.7580838760709375,0.16171321272850037,0.0,4.180735372281383e-42,1.0,8.361470744562767e-41
Palette,dino_i,246,0.7985859572645125,0.398251791371078,0.3943895101547241,0.0,4.180735372281383e-42,1.0,8.361470744562767e-41
