variant,scale,n,rho,p,ci_lo,ci_hi,mean_Shat
unrefined,0,73,0.16640544467118654,0.15940930906285983,-0.0724608136395235,0.38363622096724975,0.2957414984703064
unrefined,0.25,73,0.1664550685612475,0.15928316823102948,-0.06504955034820346,0.38234082669183267,0.31095483899116516
unrefined,0.3,73,0.18519635770761475,0.11673873860718482,-0.04867153374451334,0.3977499107039309,0.31655246019363403
unrefined,0.5,73,0.20982634847455275,0.07479716205737975,-0.022712697022536157,0.4150011941215557,0.3201931118965149
unrefined,0.7,73,0.22509396531665074,0.05553598680217401,-0.0049455679142918615,0.4271517191389665,0.30623510479927063
unrefined,0.75,73,0.20464892261152282,0.0824268873321593,-0.023226236963822637,0.40795867418860554,0.30126869678497314
unrefined,1,73,0.20997522014473577,0.07458642781021463,-0.024252957389901773,0.41541784187477154,0.2827242314815521
refined,0,73,0.16579341669376763,0.16097113179705821,-0.06093261803936838,0.3823696721927866,0.4317886531352997
refined,0.25,73,0.2768847652436373,0.017718973676372384,0.04675116110753374,0.48248962888373237,0.32970643043518066
refined,0.3,73,0.293508768414069,0.011727813606001544,0.05692517499330345,0.5003010956654015,0.30582013726234436
refined,0.5,73,0.3812438060418993,0.0008754641797463304,0.15765738757581987,0.5695187476661712,0.22962209582328796
refined,0.7,73,0.44711124944952,7.321008344427304e-05,0.22397753848460591,0.6381638847483722,0.22820791602134705
refined,0.75,73,0.4537773920143797,5.5294885040776034e-05,0.2298260938305167,0.6448201466863341,0.24119776487350464
refined,1,73,0.5111756915182581,3.8136943699920893e-06,0.28553800031677223,0.6872176820251793,0.3099237084388733
