variant,scale,n,rho,p,ci_lo,ci_hi,mean_Shat
unrefined,0,73,0.27322913867581106,0.019342045188781992,0.048336531682311654,0.4915414182255507,0.14061900973320007
unrefined,0.25,73,0.2470277247236083,0.03512194562248094,0.022669392794990875,0.46220899674519983,0.16257356107234955
unrefined,0.3,73,0.2548848406499317,0.029537988225975254,0.03136464261040542,0.46730825553921385,0.16866374015808105
unrefined,0.5,73,0.2849734593235787,0.014537865498933385,0.06612862143980999,0.4965461372880572,0.1725233495235443
unrefined,0.7,73,0.3085778896959229,0.0079040214889055,0.09506351499497119,0.512617234489995,0.17313197255134583
unrefined,0.75,73,0.29451778751197577,0.011429059718474712,0.07802049574825279,0.4984593855490745,0.17377221584320068
unrefined,1,73,0.28535390914737957,0.01440123968690453,0.0710352190930163,0.49032748952035426,0.16429875791072845
refined,0,73,0.1564145014722405,0.186337911650313,-0.08678324979197857,0.3744030853972033,0.14679373800754547
refined,0.25,73,0.21454061803034685,0.0683511513674505,-0.02804860471239522,0.4317251134772974,0.1434534341096878
refined,0.3,73,0.24319014389222507,0.03815460218460768,0.003538761310132108,0.458467570220164,0.1308848112821579
refined,0.5,73,0.3606498916665884,0.0017219595892535224,0.12096879616725359,0.5605337840983713,0.1336238980293274
refined,0.7,73,0.43685564550358214,0.00011148746071211859,0.2162077903760218,0.6209274661871814,0.1696946620941162
refined,0.75,73,0.4404120242912864,9.650372997773831e-05,0.22212973640447445,0.6231599656537693,0.18597251176834106
refined,1,73,0.47878783260511865,1.8288095540484773e-05,0.26405066860435655,0.6537503421296189,0.2258196324110031
