variant,scale,group,n,mean,ci_lo,ci_hi
unrefined,0,low,37,0.281735897064209,0.22784303426742553,0.3334274157881736
unrefined,0,high,36,0.3101361393928528,0.24638436064124108,0.37180924266576765
unrefined,0.25,low,37,0.297338604927063,0.24270580522716045,0.3497214324772358
unrefined,0.25,high,36,0.3249492645263672,0.2609767593443394,0.3865181609988212
unrefined,0.3,low,37,0.30258047580718994,0.2468204353004694,0.3557830728590488
unrefined,0.3,high,36,0.3309125602245331,0.2675989419221878,0.3921039998531341
unrefined,0.5,low,37,0.3058148920536041,0.24782576113939286,0.361736736446619
unrefined,0.5,high,36,0.33497074246406555,0.2682290211319923,0.3998351819813251
unrefined,0.7,low,37,0.28959131240844727,0.231771432235837,0.3454697266221046
unrefined,0.7,high,36,0.3233412504196167,0.2536843091249466,0.3895796343684195
unrefined,0.75,low,37,0.28507164120674133,0.22837605737149716,0.34049950912594795
unrefined,0.75,high,36,0.3179156482219696,0.24741984270513057,0.38647949770092965
unrefined,1,low,37,0.2655072510242462,0.21034831441938878,0.3199030481278896
unrefined,1,high,36,0.30041947960853577,0.22968063987791537,0.3705492064356804
refined,0,low,37,0.42642098665237427,0.3498053468763828,0.5045522138476372
refined,0,high,36,0.4373054802417755,0.36612181887030604,0.5048855468630791
refined,0.25,low,37,0.3112255930900574,0.24117491394281387,0.3805558040738105
refined,0.25,high,36,0.3487006425857544,0.27772616744041445,0.4149983294308184
refined,0.3,low,37,0.2831362783908844,0.21467402577400208,0.35297177806496616
refined,0.3,high,36,0.3291339874267578,0.2586912430822849,0.39737596139311787
refined,0.5,low,37,0.180111363530159,0.11559965349733829,0.24933326318860052
refined,0.5,high,36,0.2805081307888031,0.1982259064912796,0.3588413119316101
refined,0.7,low,37,0.15503591299057007,0.07749717496335506,0.23691512458026404
refined,0.7,high,36,0.30341246724128723,0.20809505321085453,0.39526755288243287
refined,0.75,low,37,0.16155105829238892,0.08180715944617986,0.247076280415058
refined,0.75,high,36,0.3230569362640381,0.2214700125157833,0.42021591067314146
refined,1,low,37,0.19669994711875916,0.11940116230398416,0.27981485947966567
refined,1,high,36,0.4262925982475281,0.31374230310320855,0.5343127846717833
