variant,scale,group,n,mean,ci_lo,ci_hi
unrefined,0,low,37,0.10343298316001892,0.01235211668536067,0.19737918227910994
unrefined,0,high,36,0.17883798480033875,0.10117610245943069,0.26166698560118673
unrefined,0.25,low,37,0.12830707430839539,0.034568377677351235,0.2221509497612714
unrefined,0.25,high,36,0.1977919042110443,0.11571276541799307,0.28376312777400015
unrefined,0.3,low,37,0.1359446942806244,0.042923761531710625,0.23237565718591208
unrefined,0.3,high,36,0.20229165256023407,0.11938855983316898,0.2888597354292869
unrefined,0.5,low,37,0.12671054899692535,0.031335109611973166,0.22552799656987188
unrefined,0.5,high,36,0.21960872411727905,0.12601742409169675,0.3181935355067253
unrefined,0.7,low,37,0.11947114765644073,0.023551288060843945,0.21974082179367535
unrefined,0.7,high,36,0.2282833307981491,0.12617063596844674,0.3388290524482727
unrefined,0.75,low,37,0.12449630349874496,0.03285093251615763,0.22047449797391885
unrefined,0.75,high,36,0.22441689670085907,0.12301536481827498,0.33567833378911016
unrefined,1,low,37,0.11985614895820618,0.029640352353453636,0.2153097629547119
unrefined,1,high,36,0.20997588336467743,0.10570022705942392,0.3213023647665977
refined,0,low,37,0.12937498092651367,0.04744339771568775,0.21083067581057538
refined,0,high,36,0.1646963506937027,0.0689374104142189,0.26604576036334016
refined,0.25,low,37,0.09903817623853683,0.015977162844501437,0.18626073263585563
refined,0.25,high,36,0.18910247087478638,0.05283340802416205,0.33149537965655324
refined,0.3,low,37,0.08216746896505356,-0.0023081232560798527,0.17298429310321803
refined,0.3,high,36,0.18095539510250092,0.04176027672365308,0.3258232221007346
refined,0.5,low,37,0.06983210891485214,-0.03036088435910642,0.1997397877275943
refined,0.5,high,36,0.19918768107891083,0.0664302820339799,0.34196157604455946
refined,0.7,low,37,0.07687918841838837,-0.02123876414261758,0.20010035969316958
refined,0.7,high,36,0.26508837938308716,0.11768990494310856,0.42810318619012827
refined,0.75,low,37,0.0842960849404335,-0.02052432680502534,0.21778422743082046
refined,0.75,high,36,0.2904733419418335,0.12730979658663272,0.4674507208168505
refined,1,low,37,0.1377255767583847,0.028220707643777133,0.28730497136712035
refined,1,high,36,0.3163607120513916,0.19017003141343594,0.4477007709443569
