variant,scale,n_low,n_high,n_pairs,n_concordant,concordance_rate,p_value
unrefined,0,37,36,1332,693,0.5202702702702703,0.07321024670369532
unrefined,0.25,37,36,1332,693,0.5202702702702703,0.07321024670369532
unrefined,0.3,37,36,1332,703,0.5277777777777778,0.022719725124295376
unrefined,0.5,37,36,1332,703,0.5277777777777778,0.022719725124295376
unrefined,0.7,37,36,1332,712,0.5345345345345346,0.006312074217078997
unrefined,0.75,37,36,1332,699,0.5247747747747747,0.03743734823272687
unrefined,1,37,36,1332,702,0.527027027027027,0.02584376019890617
refined,0,37,36,1332,694,0.521021021021021,0.06589116244517412
refined,0.25,37,36,1332,745,0.5593093093093093,8.292578276781725e-06
refined,0.3,37,36,1332,752,0.5645645645645646,1.3557159153179656e-06
refined,0.5,37,36,1332,817,0.6133633633633634,6.02664711949888e-17
refined,0.7,37,36,1332,867,0.6509009009009009,8.534394230566097e-29
refined,0.75,37,36,1332,874,0.6561561561561562,9.825108251770245e-31
refined,1,37,36,1332,916,0.6876876876876877,7.28891010047933e-44
