variant,scale,n_low,n_high,n_pairs,n_concordant,concordance_rate,p_value
unrefined,0,37,36,1332,797,0.5983483483483484,3.6390500796351404e-13
unrefined,0.25,37,36,1332,772,0.5795795795795796,3.4528954779545197e-09
unrefined,0.3,37,36,1332,778,0.5840840840840841,4.557184324063319e-10
unrefined,0.5,37,36,1332,800,0.6006006006006006,1.0667862096381737e-13
unrefined,0.7,37,36,1332,814,0.6111111111111112,2.4075629171026737e-16
unrefined,0.75,37,36,1332,800,0.6006006006006006,1.0667862096381737e-13
unrefined,1,37,36,1332,793,0.5953453453453453,1.7900866542427505e-12
refined,0,37,36,1332,705,0.5292792792792793,0.01741871521686236
refined,0.25,37,36,1332,707,0.5307807807807807,0.013211690272505176
refined,0.3,37,36,1332,722,0.5420420420420421,0.0011713370916800441
refined,0.5,37,36,1332,799,0.5998498498498499,1.6108293388016468e-13
refined,0.7,37,36,1332,859,0.6448948948948949,1.152339595460101e-26
refined,0.75,37,36,1332,862,0.6471471471471472,1.8763235639023113e-27
refined,1,37,36,1332,900,0.6756756756756757,1.482343730176776e-38
