variant,scale,bucket,bucket_name,mean_cosine_sim
unrefined,0,0,no-damage,0.39104593024678425
unrefined,0,1,minor,0.3364495675857753
unrefined,0,2,major,0.19653114542518169
unrefined,0,3,destroyed,0.15269537915616002
unrefined,0.25,0,no-damage,0.38500235505300023
unrefined,0.25,1,minor,0.333010149736927
unrefined,0.25,2,major,0.19754442616608248
unrefined,0.25,3,destroyed,0.1543662314341493
unrefined,0.3,0,no-damage,0.3840275659953078
unrefined,0.3,1,minor,0.33311533764617085
unrefined,0.3,2,major,0.19922040625114937
unrefined,0.3,3,destroyed,0.1559060931409875
unrefined,0.5,0,no-damage,0.3910482460505342
unrefined,0.5,1,minor,0.3372984598964861
unrefined,0.5,2,major,0.20562846236543297
unrefined,0.5,3,destroyed,0.1594286049933058
unrefined,0.7,0,no-damage,0.403694333891346
unrefined,0.7,1,minor,0.3432283057537797
unrefined,0.7,2,major,0.21103766523556758
unrefined,0.7,3,destroyed,0.16161118452883746
unrefined,0.75,0,no-damage,0.4069366044785878
unrefined,0.75,1,minor,0.34483377237434254
unrefined,0.75,2,major,0.21178282946603347
unrefined,0.75,3,destroyed,0.16187437302241586
unrefined,1,0,no-damage,0.41794453806256593
unrefined,1,1,minor,0.3498736486247141
unrefined,1,2,major,0.21296648997558307
unrefined,1,3,destroyed,0.1619206733804488
refined,0,0,no-damage,0.35805790799937837
refined,0,1,minor,0.29571105815368154
refined,0,2,major,0.21055612965703827
refined,0,3,destroyed,0.17825096779286045
refined,0.25,0,no-damage,0.4175106011433144
refined,0.25,1,minor,0.35124107970766827
refined,0.25,2,major,0.2289031029053747
refined,0.25,3,destroyed,0.18378399892659117
refined,0.3,0,no-damage,0.4332893366274768
refined,0.3,1,minor,0.3662272526385033
refined,0.3,2,major,0.23410123305982106
refined,0.3,3,destroyed,0.18565571040181406
refined,0.5,0,no-damage,0.49626653529193304
refined,0.5,1,minor,0.42904243791756563
refined,0.5,2,major,0.2604279188464766
refined,0.5,3,destroyed,0.20120967700056833
refined,0.7,0,no-damage,0.527346669811092
refined,0.7,1,minor,0.46838319893569164
refined,0.7,2,major,0.2865986462733517
refined,0.7,3,destroyed,0.22357369224502616
refined,0.75,0,no-damage,0.5303825423733829
refined,0.75,1,minor,0.47425406130209363
refined,0.75,2,major,0.29301116227695384
refined,0.75,3,destroyed,0.2306694267955545
refined,1,0,no-damage,0.5180804286509344
refined,1,1,minor,0.4725382750573224
refined,1,2,major,0.30584987043722034
refined,1,3,destroyed,0.24512072912838362
