variant,scale,bucket,bucket_name,wasserstein_distance,mean_shat_gen
unrefined,0,0,no-damage,0.239558899531342,0.2957414984703064
unrefined,0,1,minor,0.5056712268760566,0.2957414984703064
unrefined,0,2,major,1.6967044730493097,0.2957414984703064
unrefined,0,3,destroyed,2.6448179608686795,0.2957414984703064
unrefined,0.25,0,no-damage,0.25349466266505727,0.31095483899116516
unrefined,0.25,1,minor,0.49045787002515817,0.31095483899116516
unrefined,0.25,2,major,1.6814911161984114,0.31095483899116516
unrefined,0.25,3,destroyed,2.629604604017781,0.31095483899116516
unrefined,0.3,0,no-damage,0.2592531788493285,0.31655246019363403
unrefined,0.3,1,minor,0.48486025535470517,0.31655246019363403
unrefined,0.3,2,major,1.6758935015279581,0.31655246019363403
unrefined,0.3,3,destroyed,2.624006989347328,0.31655246019363403
unrefined,0.5,0,no-damage,0.26356935489475936,0.3201931118965149
unrefined,0.5,1,minor,0.4812195860970317,0.3201931118965149
unrefined,0.5,2,major,1.6722528322702848,0.3201931118965149
unrefined,0.5,3,destroyed,2.6203663200896545,0.3201931118965149
unrefined,0.7,0,no-damage,0.24951488788622092,0.30623510479927063
unrefined,0.7,1,minor,0.4951775948272799,0.30623510479927063
unrefined,0.7,2,major,1.686210841000533,0.30623510479927063
unrefined,0.7,3,destroyed,2.634324328819903,0.30623510479927063
unrefined,0.75,0,no-damage,0.24464867405503787,0.30126869678497314
unrefined,0.75,1,minor,0.500144017946864,0.30126869678497314
unrefined,0.75,2,major,1.6911772641201173,0.30126869678497314
unrefined,0.75,3,destroyed,2.639290751939487,0.30126869678497314
unrefined,1,0,no-damage,0.2262848920672336,0.2827242314815521
unrefined,1,1,minor,0.5186884705945043,0.2827242314815521
unrefined,1,2,major,1.7097217167677574,0.2827242314815521
unrefined,1,3,destroyed,2.657835204587127,0.2827242314815521
refined,0,0,no-damage,0.3717470441433279,0.4317886531352997
refined,0,1,minor,0.36962404404174487,0.4317886531352997
refined,0,2,major,1.560657290214998,0.4317886531352997
refined,0,3,destroyed,2.508770778034368,0.4317886531352997
refined,0.25,0,no-damage,0.27913778804561257,0.32970643043518066
refined,0.25,1,minor,0.47170626796661685,0.32970643043518066
refined,0.25,2,major,1.6627395141398702,0.32970643043518066
refined,0.25,3,destroyed,2.6108530019592404,0.32970643043518066
refined,0.3,0,no-damage,0.2576592244984781,0.30582013726234436
refined,0.3,1,minor,0.4955926011480503,0.30582013726234436
refined,0.3,2,major,1.6866258473213034,0.30582013726234436
refined,0.3,3,destroyed,2.634739335140673,0.30582013726234436
refined,0.5,0,no-damage,0.1985308677837069,0.22962209582328796
refined,0.5,1,minor,0.571790630747828,0.22962209582328796
refined,0.5,2,major,1.7628238769210811,0.22962209582328796
refined,0.5,3,destroyed,2.7109373647404515,0.22962209582328796
refined,0.7,0,no-damage,0.2064462735699077,0.22820791602134705
refined,0.7,1,minor,0.5732048003434941,0.22820791602134705
refined,0.7,2,major,1.7642380465167473,0.22820791602134705
refined,0.7,3,destroyed,2.712351534336117,0.22820791602134705
refined,0.75,0,no-damage,0.21927968023382846,0.24119776487350464
refined,0.75,1,minor,0.5602148963774527,0.24119776487350464
refined,0.75,2,major,1.7512481425507056,0.24119776487350464
refined,0.75,3,destroyed,2.699361630370076,0.24119776487350464
refined,1,0,no-damage,0.27263981051449293,0.3099237084388733
refined,1,1,minor,0.4914889793483985,0.3099237084388733
refined,1,2,major,1.6825222255216514,0.3099237084388733
refined,1,3,destroyed,2.6306357133410216,0.3099237084388733
