variant,scale,n,rho,p,ci_lo,ci_hi,mean_Shat
unrefined,0,92,0.1912199053117166,0.06786112804274284,-0.014099913859183973,0.3851714048617141,0.4761790335178375
unrefined,0.25,92,0.15739591864260716,0.1340283940915176,-0.06154387210332729,0.3563072255948234,0.5247957706451416
unrefined,0.3,92,0.1625593871389543,0.12157087166346521,-0.05370678752869807,0.3611311110747362,0.5358843207359314
unrefined,0.5,92,0.1181143418539409,0.2621374131074038,-0.10182217451502601,0.3197106227712152,0.5559731125831604
unrefined,0.7,92,0.10114515820376208,0.33738304097890653,-0.11790411910889488,0.3077750418268618,0.5710453391075134
unrefined,0.75,92,0.09401270884092815,0.3727224232853375,-0.12386763455751573,0.30077977722024535,0.5733896493911743
unrefined,1,92,0.0925421007248799,0.3802796551801971,-0.127008865777706,0.2962484520877192,0.5692897439002991
refined,0,92,0.1175506087427891,0.2644375374754807,-0.0857170701592351,0.3099345282347432,0.5003159046173096
refined,0.25,92,0.12766512456316528,0.22522619915646025,-0.08448669067579978,0.3199728426220183,0.5546669960021973
refined,0.3,92,0.15332723618820704,0.1445103997893986,-0.05330962050008311,0.3419028729837201,0.5677630305290222
refined,0.5,92,0.2102969605948979,0.04421161181284974,0.006935913955345415,0.3958745268665982,0.62493896484375
refined,0.7,92,0.24601639772469175,0.01808382855966033,0.04822968166351011,0.42855378136985783,0.6912080645561218
refined,0.75,92,0.2560492130941764,0.013755889448016886,0.052755675086640454,0.43916457066232795,0.7162787318229675
refined,1,92,0.40915585806497623,5.13084143028552e-05,0.22698719977381157,0.5727316973488707,0.7802119255065918
