variant,scale,n,rho,p,ci_lo,ci_hi,mean_Shat
unrefined,0,92,0.20333608217893623,0.051892367932690905,0.0018861711672282164,0.39778833446290274,0.2823466360569
unrefined,0.25,92,0.18392405504709952,0.07925552217026872,-0.017872647400639853,0.3849000286631218,0.33177343010902405
unrefined,0.3,92,0.16331920133224587,0.119815457277889,-0.038882242514735446,0.36866865628446904,0.34179985523223877
unrefined,0.5,92,0.17873607641548492,0.08825179710755747,-0.03907696124352015,0.385977465757878,0.3373951315879822
unrefined,0.7,92,0.1859747363644779,0.0759083354421453,-0.03133154875631142,0.39273343292512003,0.3310801386833191
unrefined,0.75,92,0.1860891169957261,0.07572503119512475,-0.031723295388518265,0.39313948732144016,0.33415597677230835
unrefined,1,92,0.17651382415123423,0.09234485244687217,-0.036399420300545285,0.37973726975929356,0.32627034187316895
refined,0,92,0.20830346959314364,0.04630814498256028,0.00854588745334413,0.40360623296579323,0.2601180374622345
refined,0.25,92,0.2765396861777818,0.007619958032424254,0.07192992495095049,0.46409814077160116,0.28908684849739075
refined,0.3,92,0.31060060415447677,0.0025838398088405476,0.11332070561498832,0.49322649635029325,0.30796849727630615
refined,0.5,92,0.39524227127814204,9.650675755357193e-05,0.2038234063015893,0.5588179738350332,0.39427313208580017
refined,0.7,92,0.4433229866278302,9.612766833694849e-06,0.2557804431593654,0.6087650214385932,0.4864231050014496
refined,0.75,92,0.45726108354993183,4.601300220434767e-06,0.2727190566727146,0.6196555169402026,0.5099471807479858
refined,1,92,0.5563637304814048,8.50160814458683e-09,0.3931276932341524,0.6993481762791633,0.6546176671981812
