variant,scale,group,n,mean,ci_lo,ci_hi
unrefined,0,low,34,0.37752169370651245,0.2799849838018417,0.4719321615993976
unrefined,0,high,58,0.5340126752853394,0.4502474218606949,0.6230652242898941
unrefined,0.25,low,34,0.4368169903755188,0.336027754843235,0.5374427273869514
unrefined,0.25,high,58,0.5763695240020752,0.49776575416326524,0.6610634714365005
unrefined,0.3,low,34,0.4458446800708771,0.34134828820824625,0.547964997589588
unrefined,0.3,high,58,0.5886662006378174,0.5095571786165237,0.6729588523507118
unrefined,0.5,low,34,0.4757961332798004,0.3661534011363983,0.5841917231678961
unrefined,0.5,high,58,0.602973461151123,0.5228539392352104,0.6846686601638793
unrefined,0.7,low,34,0.4917081892490387,0.3781520873308182,0.6050706893205643
unrefined,0.7,high,58,0.6175532937049866,0.5370589554309845,0.7015114784240721
unrefined,0.75,low,34,0.49469006061553955,0.380439767241478,0.6069060161709785
unrefined,0.75,high,58,0.619523823261261,0.5381236940622329,0.7043963715434074
unrefined,1,low,34,0.4903819262981415,0.379647745937109,0.5991186931729315
unrefined,1,high,58,0.6155461072921753,0.5330942362546921,0.7011943265795708
refined,0,low,34,0.44261038303375244,0.3468782052397728,0.5376035988330841
refined,0,high,58,0.5341432094573975,0.44839446246623993,0.6230192348361014
refined,0.25,low,34,0.48526960611343384,0.3923269912600517,0.575722248852253
refined,0.25,high,58,0.5953481793403625,0.5135552659630775,0.6831581905484198
refined,0.3,low,34,0.4916374087333679,0.39775904417037966,0.5815824642777443
refined,0.3,high,58,0.6123884320259094,0.5299415588378906,0.7002519533038137
refined,0.5,low,34,0.5279474258422852,0.433037330955267,0.620408421754837
refined,0.5,high,58,0.6817960143089294,0.5966262221336365,0.7707311958074569
refined,0.7,low,34,0.5798600316047668,0.48195251226425173,0.6738067507743836
refined,0.7,high,58,0.7564811706542969,0.6631170675158501,0.8526617750525475
refined,0.75,low,34,0.5993354916572571,0.49967350587248804,0.6936802625656128
refined,0.75,high,58,0.7848318219184875,0.6903585731983185,0.8837753802537918
refined,1,low,34,0.5750650763511658,0.46881131902337075,0.6845376521348954
refined,1,high,58,0.900470495223999,0.7890632942318916,1.0099143266677857
