variant,scale,group,n,mean,ci_lo,ci_hi
unrefined,0,low,34,0.2057047039270401,0.11723819095641375,0.3000537194311619
unrefined,0,high,58,0.3272746503353119,0.24435424394905567,0.4191766791045664
unrefined,0.25,low,34,0.2617162764072418,0.17188292294740676,0.35977519825100895
unrefined,0.25,high,58,0.37284132838249207,0.2936349608004093,0.4607251383364199
unrefined,0.3,low,34,0.27750182151794434,0.1844942592084408,0.37587736546993256
unrefined,0.3,high,58,0.37949177622795105,0.30089595839381217,0.4650840915739536
unrefined,0.5,low,34,0.2671390473842621,0.17962628416717052,0.362103358656168
unrefined,0.5,high,58,0.3785797953605652,0.29929463714361193,0.463115619122982
unrefined,0.7,low,34,0.2635447382926941,0.17627242915332317,0.36376368552446353
unrefined,0.7,high,58,0.3706698715686798,0.2935312546789646,0.4541386373341083
unrefined,0.75,low,34,0.26701119542121887,0.18192652314901353,0.3653969846665857
unrefined,0.75,high,58,0.37351667881011963,0.2969627156853676,0.45487744212150566
unrefined,1,low,34,0.25687944889068604,0.16961492374539375,0.3571258470416066
unrefined,1,high,58,0.3669477701187134,0.2932022772729397,0.4476961605250834
refined,0,low,34,0.20815379917621613,0.12345146276056766,0.2973088286817073
refined,0,high,58,0.29057976603507996,0.21747769713401793,0.3708774581551551
refined,0.25,low,34,0.19752229750156403,0.10162961073219776,0.29515136405825615
refined,0.25,high,58,0.3427625596523285,0.26286187544465067,0.42602646425366403
refined,0.3,low,34,0.2020929902791977,0.11013794243335724,0.2990665636956692
refined,0.3,high,58,0.37003350257873535,0.290087454020977,0.4539434231817722
refined,0.5,low,34,0.24552567303180695,0.16123781874775886,0.33103151023387906
refined,0.5,high,58,0.4814698398113251,0.3951037421822548,0.5727060794830322
refined,0.7,low,34,0.3084036409854889,0.2229677874594927,0.39411544278264043
refined,0.7,high,58,0.5907794237136841,0.5018342658877373,0.6813009053468704
refined,0.75,low,34,0.31897595524787903,0.2286620784550905,0.40769504681229585
refined,0.75,high,58,0.6218958497047424,0.5308213785290719,0.715154667198658
refined,1,low,34,0.3637174665927887,0.266127347946167,0.46821998581290236
refined,1,high,58,0.8251451849937439,0.7170617625117301,0.9414487570524216
