variant,scale,n_low,n_high,n_pairs,n_concordant,concordance_rate,p_value
unrefined,0,34,58,1972,1218,0.6176470588235294,5.647242223256564e-26
unrefined,0.25,34,58,1972,1200,0.6085192697768763,2.3785123387252217e-22
unrefined,0.3,34,58,1972,1205,0.6110547667342799,2.508321203232056e-23
unrefined,0.5,34,58,1972,1161,0.5887423935091278,1.6435097776645286e-15
unrefined,0.7,34,58,1972,1156,0.5862068965517241,9.84987399062973e-15
unrefined,0.75,34,58,1972,1148,0.5821501014198783,1.5531767383761607e-13
unrefined,1,34,58,1972,1156,0.5862068965517241,9.84987399062973e-15
refined,0,34,58,1972,1126,0.5709939148073022,1.5564090226076994e-10
refined,0.25,34,58,1972,1139,0.5775862068965517,2.9556119165683494e-12
refined,0.3,34,58,1972,1168,0.592292089249493,1.228541419648752e-16
refined,0.5,34,58,1972,1217,0.6171399594320487,9.141697715334466e-26
refined,0.7,34,58,1972,1238,0.6277890466531441,2.361210787123466e-30
refined,0.75,34,58,1972,1246,0.6318458417849898,3.289352434644227e-32
refined,1,34,58,1972,1431,0.7256592292089249,1.1344138801177126e-92
