variant,scale,n_low,n_high,n_pairs,n_concordant,concordance_rate,p_value
unrefined,0,34,58,1972,1177,0.5968559837728195,3.7703617623164986e-18
unrefined,0.25,34,58,1972,1168,0.592292089249493,1.228541419648752e-16
unrefined,0.3,34,58,1972,1139,0.5775862068965517,2.9556119165683494e-12
unrefined,0.5,34,58,1972,1167,0.5917849898580122,1.7905929028992492e-16
unrefined,0.7,34,58,1972,1173,0.5948275862068966,1.810713088538048e-17
unrefined,0.75,34,58,1972,1173,0.5948275862068966,1.810713088538048e-17
unrefined,1,34,58,1972,1182,0.5993914807302231,5.060650060442585e-19
refined,0,34,58,1972,1130,0.5730223123732252,4.7678151899516804e-11
refined,0.25,34,58,1972,1250,0.6338742393509128,3.6859520638841294e-33
refined,0.3,34,58,1972,1292,0.6551724137931034,4.649631519337235e-44
refined,0.5,34,58,1972,1411,0.7155172413793104,1.9632701141348364e-84
refined,0.7,34,58,1972,1471,0.7459432048681541,1.750954791606663e-110
refined,0.75,34,58,1972,1487,0.7540567951318459,4.021659713149256e-118
refined,1,34,58,1972,1584,0.8032454361054767,3.327572754496531e-171
