variant,scale,n,rho,p,ci_lo,ci_hi,mean_Shat
unrefined,0,46,0.41634471931698513,0.004001911299094414,0.16940073939903338,0.6165514717636201,1.7549113035202026
unrefined,0.25,46,0.43252638421956574,0.002681887932810567,0.18612733948754873,0.6216902684074972,1.7817230224609375
unrefined,0.3,46,0.4221828101837986,0.003471528606057652,0.17754978710592223,0.6154093858616064,1.7838557958602905
unrefined,0.5,46,0.4318918091253469,0.0027253166654624917,0.19819375753715304,0.6158219873984201,1.772896647453308
unrefined,0.7,46,0.4207232874670952,0.0035979785465072947,0.17948419044139508,0.6208608277548828,1.759242057800293
unrefined,0.75,46,0.4286554761448308,0.0029565900330339144,0.187748102733144,0.6231766058764981,1.7585736513137817
unrefined,1,46,0.42510185561720526,0.003230286352954885,0.18524335906093323,0.6180218662798959,1.7576841115951538
refined,0,46,0.5629315660815387,4.651548243832622e-05,0.32182801756591684,0.7332573803558762,1.647536039352417
refined,0.25,46,0.5416098429157854,0.00010144972956878651,0.29902741472565086,0.7190095971289172,1.6727930307388306
refined,0.3,46,0.5276491908429708,0.00016440909379637406,0.28156387548325473,0.7081931233769552,1.6805369853973389
refined,0.5,46,0.5032180497155452,0.00036444358787607784,0.25135009762896565,0.704789034754908,1.7256114482879639
refined,0.7,46,0.4766293532677756,0.0008120005049508111,0.20970739173882155,0.6815974470573755,1.790825605392456
refined,0.75,46,0.4657781191566333,0.0011058062364776343,0.2011221796974008,0.6743752002621513,1.8050099611282349
refined,1,46,0.5053756050358893,0.00034051699024600603,0.2413020565298384,0.7040215181051283,1.8175677061080933
