variant,scale,n,rho,p,ci_lo,ci_hi,mean_Shat
unrefined,0,46,0.5895202625293083,1.6265171355905015e-05,0.36887777920388526,0.7495122052399089,1.42100989818573
unrefined,0.25,46,0.5501766066877399,7.463513300629648e-05,0.30770130151061703,0.7330577129030418,1.443444848060608
unrefined,0.3,46,0.5431962806513325,9.590391560364529e-05,0.29638752819814396,0.7270988994551979,1.4329421520233154
unrefined,0.5,46,0.5188285970333288,0.00022068051170397139,0.27863643261956844,0.7058121456716941,1.412926435470581
unrefined,0.7,46,0.5500496916688962,7.497988996374457e-05,0.29951798998686835,0.7346784723301814,1.3971819877624512
unrefined,0.75,46,0.5233340802022827,0.00019006559586608732,0.2729298220614298,0.713056759021239,1.40336012840271
unrefined,1,46,0.5405945227650354,0.00010515069689260037,0.29032233772985533,0.7365171757017808,1.3982218503952026
refined,0,46,0.4943974559059032,0.00047884096476175905,0.23677741444328176,0.7086485935447333,1.2994835376739502
refined,0.25,46,0.5272684457864395,0.00016653933185242466,0.2715198061701988,0.7360698236405225,1.3343819379806519
refined,0.3,46,0.5252378054849391,0.0001783296493788345,0.2787779242423092,0.7280237305494184,1.3443859815597534
refined,0.5,46,0.5605201807235071,5.094077153465353e-05,0.3231459220956329,0.7483018606144256,1.3558144569396973
refined,0.7,46,0.5576645927995223,5.6677416084969674e-05,0.3251778800331827,0.7414021433295258,1.3938112258911133
refined,0.75,46,0.5640738012511326,4.454458269294254e-05,0.33281504716072424,0.7437525100384133,1.4113128185272217
refined,1,46,0.48227707160632327,0.0006886339487683921,0.2220535286037943,0.6919477880405104,1.3739854097366333
