variant,scale,group,n,mean,ci_lo,ci_hi
unrefined,0,low,17,1.6076128482818604,1.4564360916614532,1.7491826027631758
unrefined,0,high,29,1.8412586450576782,1.7496468633413316,1.9290400207042693
unrefined,0.25,low,17,1.6223512887954712,1.4581515431404113,1.7700406223535536
unrefined,0.25,high,29,1.8751473426818848,1.7831583976745606,1.9646672278642654
unrefined,0.3,low,17,1.6171425580978394,1.4535508692264556,1.7674592614173887
unrefined,0.3,high,29,1.8815841674804688,1.7891448736190796,1.97128484249115
unrefined,0.5,low,17,1.5870529413223267,1.4177548289299011,1.7393110454082488
unrefined,0.5,high,29,1.881839394569397,1.7916690438985825,1.9702605605125427
unrefined,0.7,low,17,1.5681328773498535,1.3983644723892212,1.7185425400733947
unrefined,0.7,high,29,1.8712712526321411,1.7820251345634461,1.961365854740143
unrefined,0.75,low,17,1.5671921968460083,1.3987245827913284,1.7173788875341414
unrefined,0.75,high,29,1.8707627058029175,1.782680007815361,1.9606147676706314
unrefined,1,low,17,1.565761685371399,1.3930784851312636,1.7179888933897018
unrefined,1,high,29,1.8701900243759155,1.782648465037346,1.9597396105527878
refined,0,low,17,1.4363203048706055,1.3023789316415786,1.564158895611763
refined,0,high,29,1.7713525295257568,1.702700424194336,1.8405811339616776
refined,0.25,low,17,1.4634164571762085,1.328606453537941,1.5938834935426711
refined,0.25,high,29,1.7955307960510254,1.7178748011589051,1.8703981667757033
refined,0.3,low,17,1.4747108221054077,1.3347500175237657,1.6096936732530593
refined,0.3,high,29,1.801194429397583,1.7238364398479462,1.8762448459863663
refined,0.5,low,17,1.5220136642456055,1.3693883001804352,1.6685496419668195
refined,0.5,high,29,1.8449616432189941,1.7662306517362594,1.9209684014320374
refined,0.7,low,17,1.5893633365631104,1.4225913524627685,1.7477396517992019
refined,0.7,high,29,1.9089241027832031,1.8255079358816146,1.9877727508544922
refined,0.75,low,17,1.6027169227600098,1.430548506975174,1.7653208822011945
refined,0.75,high,29,1.923595666885376,1.8377703100442886,2.00554701089859
refined,1,low,17,1.6086745262145996,1.4376017719507217,1.7719259530305862
refined,1,high,29,1.9400218725204468,1.8402627617120744,2.0367495238780973
