variant,scale,group,n,mean,ci_lo,ci_hi
unrefined,0,low,17,1.1743037700653076,0.9952644646167755,1.3416274696588517
unrefined,0,high,29,1.5656307935714722,1.424789422750473,1.6936438858509062
unrefined,0.25,low,17,1.2236404418945312,1.0231903910636901,1.412446358799934
unrefined,0.25,high,29,1.5722957849502563,1.4405081778764726,1.7014129400253295
unrefined,0.3,low,17,1.212489128112793,1.0112624228000642,1.4116771310567855
unrefined,0.3,high,29,1.5621731281280518,1.4315204292535781,1.6895776450634001
unrefined,0.5,low,17,1.2165048122406006,1.0140588581562042,1.4101460248231887
unrefined,0.5,high,29,1.528070092201233,1.3881987482309341,1.6635678738355635
unrefined,0.7,low,17,1.2002134323120117,1.0071198731660842,1.392036172747612
unrefined,0.7,high,29,1.5126460790634155,1.3667946219444276,1.6511602997779846
unrefined,0.75,low,17,1.2079451084136963,1.0126202762126923,1.4026368230581283
unrefined,0.75,high,29,1.517913579940796,1.3693661957979202,1.6565440237522124
unrefined,1,low,17,1.199926495552063,0.9939982578158378,1.4003624826669694
unrefined,1,high,29,1.5144639015197754,1.366990664601326,1.6530946642160416
refined,0,low,17,1.0150457620620728,0.7584752678871155,1.2655373722314833
refined,0,high,29,1.4662230014801025,1.34227614402771,1.5926677793264388
refined,0.25,low,17,1.0690146684646606,0.8141793519258499,1.3027634859085082
refined,0.25,high,29,1.4899420738220215,1.3554350912570954,1.6267000287771225
refined,0.3,low,17,1.080172061920166,0.8343510419130326,1.3088288992643353
refined,0.3,high,29,1.4992700815200806,1.363130870461464,1.6345096886157988
refined,0.5,low,17,1.0630013942718506,0.8272616654634476,1.283753889799118
refined,0.5,high,29,1.5274633169174194,1.3779172509908677,1.680874443054199
refined,0.7,low,17,1.0703526735305786,0.8402149617671967,1.2992412507534026
refined,0.7,high,29,1.5834249258041382,1.4109858244657516,1.7568962872028349
refined,0.75,low,17,1.0803132057189941,0.8577824860811234,1.300508353114128
refined,0.75,high,29,1.6053470373153687,1.428970244526863,1.7847503423690796
refined,1,low,17,1.0803723335266113,0.85448587089777,1.309337493777275
refined,1,high,29,1.5461039543151855,1.3550530582666398,1.741264334321022
