variant,scale,n_low,n_high,n_pairs,n_concordant,concordance_rate,p_value
unrefined,0,17,29,493,352,0.7139959432048681,3.644059005786505e-22
unrefined,0.25,17,29,493,361,0.7322515212981744,6.214635220498248e-26
unrefined,0.3,17,29,493,359,0.7281947261663286,4.5856510137540775e-25
unrefined,0.5,17,29,493,366,0.742393509127789,3.5088931488429255e-28
unrefined,0.7,17,29,493,366,0.742393509127789,3.5088931488429255e-28
unrefined,0.75,17,29,493,368,0.7464503042596349,4.112235745927997e-29
unrefined,1,17,29,493,364,0.7383367139959433,2.870784981989655e-27
refined,0,17,29,493,416,0.8438133874239351,1.3980042042564296e-57
refined,0.25,17,29,493,403,0.8174442190669371,1.324643326362639e-48
refined,0.3,17,29,493,393,0.7971602434077079,2.2169540922281322e-42
refined,0.5,17,29,493,379,0.768762677484787,1.4373465972294777e-34
refined,0.7,17,29,493,374,0.7586206896551724,5.119722545264438e-32
refined,0.75,17,29,493,369,0.7484787018255578,1.3855531346387707e-29
refined,1,17,29,493,368,0.7464503042596349,4.112235745927997e-29
