variant,scale,n_low,n_high,n_pairs,n_concordant,concordance_rate,p_value
unrefined,0,17,29,493,394,0.7991886409736308,5.603157688080119e-43
unrefined,0.25,17,29,493,385,0.7809330628803245,8.56864326173695e-38
unrefined,0.3,17,29,493,382,0.7748478701825557,3.696460109752163e-36
unrefined,0.5,17,29,493,379,0.768762677484787,1.4373465972294777e-34
unrefined,0.7,17,29,493,378,0.7667342799188641,4.760061110678139e-34
unrefined,0.75,17,29,493,373,0.7565922920892495,1.6038218753652192e-31
unrefined,1,17,29,493,370,0.7505070993914807,4.618801633348412e-30
refined,0,17,29,493,368,0.7464503042596349,4.112235745927997e-29
refined,0.25,17,29,493,373,0.7565922920892495,1.6038218753652192e-31
refined,0.3,17,29,493,371,0.7525354969574036,1.5232489727619984e-30
refined,0.5,17,29,493,377,0.7647058823529411,1.5587527370019344e-33
refined,0.7,17,29,493,375,0.7606490872210954,1.6164617297389839e-32
refined,0.75,17,29,493,377,0.7647058823529411,1.5587527370019344e-33
refined,1,17,29,493,348,0.7058823529411765,1.3320068559213791e-20
