variant,scale,n,rho,p,ci_lo,ci_hi,mean_Shat
unrefined,0,103,-0.04011393248965658,0.6874592357260262,-0.2332226712969696,0.14710155162543048,0.4307037889957428
unrefined,0.25,103,-0.06375209764849686,0.5223233645624419,-0.2529113206398196,0.12690044345230017,0.44138509035110474
unrefined,0.3,103,-0.04590804205336469,0.6451771018638579,-0.23776889420548783,0.13928674861801402,0.4442718029022217
unrefined,0.5,103,-0.02184756570183429,0.8266121237715796,-0.22318873001776895,0.17378838277070732,0.387234091758728
unrefined,0.7,103,-0.021447777772754337,0.8297366098308105,-0.2292819732437418,0.1722504008060863,0.34338441491127014
unrefined,0.75,103,-0.021312638191093504,0.8307933768325368,-0.22688543929434057,0.17512406604704234,0.3366791307926178
unrefined,1,103,-0.01404325486092132,0.8880350445577861,-0.22247271909890243,0.1789192546001396,0.3104601800441742
refined,0,103,-0.09866878706011399,0.32140248918351855,-0.3012919329241331,0.103345317648028,0.3024979531764984
refined,0.25,103,-0.05483851607478458,0.5822013032238883,-0.26698035276271054,0.1412946695204521,0.4049096405506134
refined,0.3,103,-0.04044615062790611,0.6850071186563289,-0.25446504808660636,0.1556379875507262,0.4311964213848114
refined,0.5,103,0.014927292957619253,0.8810368787854902,-0.20303619233223108,0.20776006298696684,0.5432747602462769
refined,0.7,103,0.09110097048710748,0.3600892035629188,-0.12351777903165341,0.277096516612697,0.6682509183883667
refined,0.75,103,0.11565132782215838,0.2447010902798388,-0.1027650312699042,0.29832780531033537,0.6953027844429016
refined,1,103,0.38805330873907523,5.118521424880262e-05,0.20811506532403065,0.545027394876881,0.7955638766288757
