variant,scale,n,rho,p,ci_lo,ci_hi,mean_Shat
unrefined,0,103,0.13164284498535667,0.185005256271681,-0.0711282366117075,0.3263445793380363,0.2861919105052948
unrefined,0.25,103,0.09807755139034785,0.3243248587155713,-0.09675003134899599,0.2915623130617279,0.3057801425457001
unrefined,0.3,103,0.09351659050929481,0.34743925322973346,-0.10706962696779046,0.28362984448089923,0.31338146328926086
unrefined,0.5,103,0.11530221723620124,0.2461378781320039,-0.0847864474238928,0.30466242483618294,0.29874128103256226
unrefined,0.7,103,0.10064520344190364,0.31175680116702853,-0.11087074176991607,0.2948002428528629,0.27186059951782227
unrefined,0.75,103,0.07740119539624075,0.4370901613179368,-0.1341684708730178,0.2778866374042834,0.26587894558906555
unrefined,1,103,0.05080122107266726,0.6103225252296894,-0.1684054893311305,0.2530912419898998,0.24918696284294128
refined,0,103,0.17649229364904487,0.07452635509312536,-0.03379905359600061,0.3621545038387465,0.14315983653068542
refined,0.25,103,0.22397133333921668,0.02294832699614544,0.015524298980257076,0.39919381325866,0.19005544483661652
refined,0.3,103,0.234675514369935,0.0170303306438151,0.030623842209886565,0.40614429606718827,0.2040821611881256
refined,0.5,103,0.2574690571433951,0.008650739464224177,0.050803592165720425,0.427331019809314,0.29557472467422485
refined,0.7,103,0.2515341771821236,0.010377614659426609,0.06040171743993695,0.42335038306510897,0.42023715376853943
refined,0.75,103,0.24873003086266138,0.011293775672138882,0.05173484971883874,0.4213225756355431,0.44870585203170776
refined,1,103,0.3928732871516448,4.0451055102622765e-05,0.20186969822939724,0.5404571387465383,0.508462131023407
