variant,scale,group,n,mean,ci_lo,ci_hi
unrefined,0,low,37,0.48808926343917847,0.38973297402262685,0.5851365223526954
unrefined,0,high,66,0.39853328466415405,0.311183675378561,0.4811698764562607
unrefined,0.25,low,37,0.5053593516349792,0.40659802928566935,0.603670671582222
unrefined,0.25,high,66,0.40552082657814026,0.31657215654850007,0.4877169944345951
unrefined,0.3,low,37,0.50461745262146,0.4041451923549175,0.603987367451191
unrefined,0.3,high,66,0.4104415774345398,0.3226067051291466,0.4923465169966221
unrefined,0.5,low,37,0.4456096291542053,0.34367010146379473,0.544601458311081
unrefined,0.5,high,66,0.35450848937034607,0.26235581412911413,0.4390545152127743
unrefined,0.7,low,37,0.4095142185688019,0.31191598400473597,0.506719160079956
unrefined,0.7,high,66,0.30631163716316223,0.2167662151157856,0.3908973790705204
unrefined,0.75,low,37,0.40389111638069153,0.3079697243869305,0.5011739388108253
unrefined,0.75,high,66,0.29899972677230835,0.20835437513887883,0.3826419927179812
unrefined,1,low,37,0.3775675594806671,0.2811091847717762,0.4720206186175346
unrefined,1,high,66,0.27283936738967896,0.1837092734873295,0.3574681401252746
refined,0,low,37,0.38658565282821655,0.28198307007551193,0.5027874886989594
refined,0,high,66,0.25535792112350464,0.1708384595811367,0.34237599894404414
refined,0.25,low,37,0.4789656102657318,0.3596985928714275,0.6085760459303855
refined,0.25,high,66,0.3633933663368225,0.2725775457918644,0.45739560350775715
refined,0.3,low,37,0.5019226670265198,0.37709617912769317,0.6385102421045303
refined,0.3,high,66,0.39154690504074097,0.29874435886740686,0.4861739009618759
refined,0.5,low,37,0.5893754959106445,0.45217323005199433,0.736271248757839
refined,0.5,high,66,0.5174303650856018,0.4175621286034584,0.6176914408802986
refined,0.7,low,37,0.6751289367675781,0.5264828607439995,0.8335569143295287
refined,0.7,high,66,0.6643950343132019,0.5579783082008362,0.7702188357710835
refined,0.75,low,37,0.688550591468811,0.5389442726969719,0.8487665444612501
refined,0.75,high,66,0.6990880966186523,0.5913256257772446,0.8048440128564833
refined,1,low,37,0.6184142827987671,0.4417130045592785,0.7969362542033189
refined,1,high,66,0.8948750495910645,0.7819668740034104,1.0060354888439178
