variant,scale,group,n,mean,ci_lo,ci_hi
unrefined,0,low,37,0.2525053918361664,0.1895514525473118,0.3160260163247585
unrefined,0,high,66,0.3050767481327057,0.2702589616179466,0.3409899860620499
unrefined,0.25,low,37,0.27840712666511536,0.2119769487529993,0.3431518740952014
unrefined,0.25,high,66,0.32112565636634827,0.28584843799471854,0.3576789006590843
unrefined,0.3,low,37,0.2871992290019989,0.22266609743237495,0.35201166495680797
unrefined,0.3,high,66,0.3280593156814575,0.2925342008471489,0.36540467366576196
unrefined,0.5,low,37,0.2669890522956848,0.20612026676535605,0.33068055510520933
unrefined,0.5,high,66,0.3165418207645416,0.28050546571612356,0.35451727509498593
unrefined,0.7,low,37,0.24302475154399872,0.1777186721563339,0.309483328461647
unrefined,0.7,high,66,0.2880261540412903,0.25196370407938956,0.32614547908306124
unrefined,0.75,low,37,0.23853103816509247,0.17237907499074936,0.30594534128904344
unrefined,0.75,high,66,0.2812102735042572,0.2442533142864704,0.3193467795848846
unrefined,1,low,37,0.22598707675933838,0.15886119790375233,0.2928031124174595
unrefined,1,high,66,0.262192964553833,0.22424552738666534,0.30073993429541584
refined,0,low,37,0.10014428198337555,0.034327824506908654,0.1645983051508665
refined,0,high,66,0.1672745943069458,0.1278238981962204,0.21073451600968837
refined,0.25,low,37,0.14024507999420166,0.06368967350572348,0.21815140806138514
refined,0.25,high,66,0.21797941625118256,0.17439321987330914,0.26686337813735006
refined,0.3,low,37,0.15175966918468475,0.07135732918977737,0.23326250314712524
refined,0.3,high,66,0.23341448605060577,0.18822885863482952,0.2849371410906314
refined,0.5,low,37,0.2294384241104126,0.13827108182013034,0.31659636199474334
refined,0.5,high,66,0.33265116810798645,0.2731491200625896,0.39539063945412634
refined,0.7,low,37,0.3404863178730011,0.23156259283423425,0.44656669944524763
refined,0.7,high,66,0.46494588255882263,0.3816107377409935,0.5472205430269241
refined,0.75,low,37,0.365190327167511,0.2531024530529976,0.47383120507001836
refined,0.75,high,66,0.49552518129348755,0.4086619533598423,0.5849638223648072
refined,1,low,37,0.3783387243747711,0.2450559463351965,0.5109877109527587
refined,1,high,66,0.5814101099967957,0.4888888202607632,0.6764256149530411
