variant,scale,n_low,n_high,n_pairs,n_concordant,concordance_rate,p_value
unrefined,0,37,66,2442,1074,0.4398034398034398,0.9999999988618191
unrefined,0.25,37,66,2442,1042,0.4266994266994267,0.9999999999998302
unrefined,0.3,37,66,2442,1064,0.4357084357084357,0.9999999999132024
unrefined,0.5,37,66,2442,1062,0.4348894348894349,0.9999999999491278
unrefined,0.7,37,66,2442,1044,0.4275184275184275,0.9999999999996907
unrefined,0.75,37,66,2442,1043,0.4271089271089271,0.9999999999997706
unrefined,1,37,66,2442,1040,0.4258804258804259,0.9999999999999074
refined,0,37,66,2442,938,0.3841113841113841,1.0
refined,0.25,37,66,2442,980,0.4013104013104013,1.0
refined,0.3,37,66,2442,1001,0.4099099099099099,1.0
refined,0.5,37,66,2442,1070,0.4381654381654382,0.9999999995854228
refined,0.7,37,66,2442,1186,0.4856674856674857,0.9246149215294317
refined,0.75,37,66,2442,1214,0.49713349713349714,0.6192578960649413
refined,1,37,66,2442,1593,0.6523341523341524,3.513888729012878e-52
