variant,scale,n_low,n_high,n_pairs,n_concordant,concordance_rate,p_value
unrefined,0,37,66,2442,1361,0.5573300573300574,7.936345237508515e-09
unrefined,0.25,37,66,2442,1322,0.5413595413595413,2.3544710400124624e-05
unrefined,0.3,37,66,2442,1328,0.5438165438165438,8.056876898049518e-06
unrefined,0.5,37,66,2442,1321,0.540950040950041,2.799738937507678e-05
unrefined,0.7,37,66,2442,1299,0.5319410319410319,0.0008518443584115163
unrefined,0.75,37,66,2442,1282,0.5249795249795249,0.007162914069250077
unrefined,1,37,66,2442,1264,0.5176085176085176,0.04269941927114106
refined,0,37,66,2442,1442,0.5904995904995906,1.8039832834668486e-19
refined,0.25,37,66,2442,1481,0.6064701064701065,2.754640494743382e-26
refined,0.3,37,66,2442,1500,0.6142506142506142,5.168417402834094e-30
refined,0.5,37,66,2442,1485,0.6081081081081081,4.761412338277069e-27
refined,0.7,37,66,2442,1451,0.5941850941850941,6.054344132938033e-21
refined,0.75,37,66,2442,1438,0.5888615888615889,7.807309198834609e-19
refined,1,37,66,2442,1546,0.633087633087633,3.734739788593352e-40
