variant,scale,bucket,bucket_name,wasserstein_distance,mean_shat_gen
unrefined,0,0,no-damage,0.42683815810058884,0.4307037889957428
unrefined,0,1,minor,0.44970295770685936,0.4307037889957428
unrefined,0,2,major,1.4827433561541727,0.4307037889957428
unrefined,0,3,destroyed,2.4744517247871434,0.4307037889957428
unrefined,0.25,0,no-damage,0.4348368248175996,0.44138509035110474
unrefined,0.25,1,minor,0.43902170351439596,0.44138509035110474
unrefined,0.25,2,major,1.4720621019617093,0.44138509035110474
unrefined,0.25,3,destroyed,2.463770470594681,0.44138509035110474
unrefined,0.3,0,no-damage,0.4389746181745322,0.4442718029022217
unrefined,0.3,1,minor,0.4361350776214883,0.4442718029022217
unrefined,0.3,2,major,1.4691754760688016,0.4442718029022217
unrefined,0.3,3,destroyed,2.4608838447017725,0.4442718029022217
unrefined,0.5,0,no-damage,0.3976889589608642,0.387234091758728
unrefined,0.5,1,minor,0.4931726924137843,0.387234091758728
unrefined,0.5,2,major,1.5262130908610976,0.387234091758728
unrefined,0.5,3,destroyed,2.517921459494069,0.387234091758728
unrefined,0.7,0,no-damage,0.3664839681352573,0.34338441491127014
unrefined,0.7,1,minor,0.5370224035483802,0.34338441491127014
unrefined,0.7,2,major,1.5700628019956935,0.34338441491127014
unrefined,0.7,3,destroyed,2.5617711706286643,0.34338441491127014
unrefined,0.75,0,no-damage,0.36207764514792323,0.3366791307926178
unrefined,0.75,1,minor,0.5437276614814968,0.3366791307926178
unrefined,0.75,2,major,1.57676805992881,0.3366791307926178
unrefined,0.75,3,destroyed,2.5684764285617816,0.3366791307926178
unrefined,1,0,no-damage,0.34228350076053904,0.3104601800441742
unrefined,1,1,minor,0.5699466327732888,0.3104601800441742
unrefined,1,2,major,1.6029870312206023,0.3104601800441742
unrefined,1,3,destroyed,2.5946953998535736,0.3104601800441742
refined,0,0,no-damage,0.3265273333614661,0.3024979531764984
refined,0,1,minor,0.5779088615216936,0.3024979531764984
refined,0,2,major,1.610949259969007,0.3024979531764984
refined,0,3,destroyed,2.6026576286019782,0.3024979531764984
refined,0.25,0,no-damage,0.41062920040069284,0.4049096405506134
refined,0.25,1,minor,0.4754972126301891,0.4049096405506134
refined,0.25,2,major,1.5085376110775024,0.4049096405506134
refined,0.25,3,destroyed,2.5002459797104737,0.4049096405506134
refined,0.3,0,no-damage,0.4342124922044415,0.4311964213848114
refined,0.3,1,minor,0.44921036235368655,0.4311964213848114
refined,0.3,2,major,1.482250760801,0.4311964213848114
refined,0.3,3,destroyed,2.473959129433971,0.4311964213848114
refined,0.5,0,no-damage,0.5335601206404839,0.5432747602462769
refined,0.5,1,minor,0.3479309654834002,0.5432747602462769
refined,0.5,2,major,1.370172414127275,0.5432747602462769
refined,0.5,3,destroyed,2.3618807827602466,0.5432747602462769
refined,0.7,0,no-damage,0.6418336540032707,0.6682509183883667
refined,0.7,1,minor,0.2589013349345994,0.6682509183883667
refined,0.7,2,major,1.2451963329504063,0.6682509183883667
refined,0.7,3,destroyed,2.236904701583377,0.6682509183883667
refined,0.75,0,no-damage,0.6673281097157836,0.6953027844429016
refined,0.75,1,minor,0.24208023253511846,0.6953027844429016
refined,0.75,2,major,1.2181444391189498,0.6953027844429016
refined,0.75,3,destroyed,2.2098528077519206,0.6953027844429016
refined,1,0,no-damage,0.776345111343502,0.7955638766288757
refined,1,1,minor,0.2401063170713141,0.7955638766288757
refined,1,2,major,1.1178833407121023,0.7955638766288757
refined,1,3,destroyed,2.1095917093450733,0.7955638766288757
