variant,scale,n,rho,p,ci_lo,ci_hi,mean_Shat
unrefined,0,3,0.0,1.0,-1.0,1.0,0.13928396999835968
unrefined,0.25,3,0.0,1.0,-1.0,1.0,0.139984592795372
unrefined,0.3,3,0.0,1.0,-1.0,1.0,0.14005303382873535
unrefined,0.5,3,-0.8660254037844387,0.33333333333333326,-1.0,-0.8660254037844387,0.14006851613521576
unrefined,0.7,3,0.0,1.0,-1.0,1.0,0.13998423516750336
unrefined,0.75,3,0.0,1.0,-1.0,1.0,0.13996367156505585
unrefined,1,3,0.0,1.0,-1.0,1.0,0.13978338241577148
refined,0,3,0.8660254037844387,0.33333333333333326,0.8660254037844387,1.0,0.13771255314350128
refined,0.25,3,0.8660254037844387,0.33333333333333326,0.8660254037844387,1.0,0.13829673826694489
refined,0.3,3,0.8660254037844387,0.33333333333333326,0.8660254037844387,1.0,0.13819153606891632
refined,0.5,3,0.0,1.0,-1.0,1.0,0.13796524703502655
refined,0.7,3,-0.8660254037844387,0.33333333333333326,-1.0,-0.8660254037844387,0.1378699541091919
refined,0.75,3,-0.8660254037844387,0.33333333333333326,-1.0,-0.8660254037844387,0.1378377228975296
refined,1,3,0.0,1.0,-1.0,1.0,0.1376761943101883
