variant,scale,n,rho,p,ci_lo,ci_hi,mean_Shat
unrefined,0,3,0.8660254037844387,0.33333333333333326,0.8660254037844387,1.0,0.13900510966777802
unrefined,0.25,3,0.8660254037844387,0.33333333333333326,0.8660254037844387,1.0,0.1391875147819519
unrefined,0.3,3,0.8660254037844387,0.33333333333333326,0.8660254037844387,1.0,0.1392088383436203
unrefined,0.5,3,0.8660254037844387,0.33333333333333326,0.8660254037844387,1.0,0.13932299613952637
unrefined,0.7,3,0.8660254037844387,0.33333333333333326,0.8660254037844387,1.0,0.13940571248531342
unrefined,0.75,3,0.8660254037844387,0.33333333333333326,0.8660254037844387,1.0,0.13944818079471588
unrefined,1,3,0.8660254037844387,0.33333333333333326,0.8660254037844387,1.0,0.1393459290266037
refined,0,3,0.8660254037844387,0.33333333333333326,0.8660254037844387,1.0,0.13903632760047913
refined,0.25,3,0.8660254037844387,0.33333333333333326,0.8660254037844387,1.0,0.13934195041656494
refined,0.3,3,0.8660254037844387,0.33333333333333326,0.8660254037844387,1.0,0.1394999623298645
refined,0.5,3,0.8660254037844387,0.33333333333333326,0.8660254037844387,1.0,0.14008678495883942
refined,0.7,3,0.8660254037844387,0.33333333333333326,0.8660254037844387,1.0,0.14050062000751495
refined,0.75,3,0.8660254037844387,0.33333333333333326,0.8660254037844387,1.0,0.14060671627521515
refined,1,3,0.8660254037844387,0.33333333333333326,0.8660254037844387,1.0,0.14060944318771362
