variant,scale,group,n,mean,ci_lo,ci_hi
unrefined,0,low,2,0.13906505703926086,0.13835065066814423,0.1397794634103775
unrefined,0,high,1,0.1397218257188797,0.1397218257188797,0.1397218257188797
unrefined,0.25,low,2,0.13994279503822327,0.13962845504283905,0.14025713503360748
unrefined,0.25,high,1,0.1400681734085083,0.1400681734085083,0.1400681734085083
unrefined,0.3,low,2,0.1400146782398224,0.13975511491298676,0.14027422666549683
unrefined,0.3,high,1,0.14012973010540009,0.14012973010540009,0.14012973010540009
unrefined,0.5,low,2,0.1400962769985199,0.14001545310020447,0.14017710089683533
unrefined,0.5,high,1,0.1400129795074463,0.1400129795074463,0.1400129795074463
unrefined,0.7,low,2,0.14002513885498047,0.13982313871383667,0.14022713899612427
unrefined,0.7,high,1,0.13990242779254913,0.13990242779254913,0.13990242779254913
unrefined,0.75,low,2,0.139971524477005,0.1396959125995636,0.1402471363544464
unrefined,0.75,high,1,0.13994795083999634,0.13994795083999634,0.13994795083999634
unrefined,1,low,2,0.13971252739429474,0.13917197287082672,0.14025308191776276
unrefined,1,high,1,0.13992509245872498,0.13992509245872498,0.13992509245872498
refined,0,low,2,0.13745296001434326,0.13722895085811615,0.13767696917057037
refined,0,high,1,0.1382317692041397,0.1382317692041397,0.1382317692041397
refined,0.25,low,2,0.13823628425598145,0.13819453120231628,0.1382780522108078
refined,0.25,high,1,0.13841766119003296,0.13841766119003296,0.13841766119003296
refined,0.3,low,2,0.13810525834560394,0.13806234300136566,0.13814817368984222
refined,0.3,high,1,0.13836409151554108,0.13836409151554108,0.13836409151554108
refined,0.5,low,2,0.13796988129615784,0.13785390555858612,0.13808587193489075
refined,0.5,high,1,0.1379559487104416,0.1379559487104416,0.1379559487104416
refined,0.7,low,2,0.13795065879821777,0.13783864676952362,0.13806267082691193
refined,0.7,high,1,0.13770854473114014,0.13770854473114014,0.13770854473114014
refined,0.75,low,2,0.13789142668247223,0.13784009218215942,0.13794276118278503
refined,0.75,high,1,0.13773033022880554,0.13773033022880554,0.13773033022880554
refined,1,low,2,0.13765260577201843,0.13722608983516693,0.13807910680770874
refined,1,high,1,0.13772335648536682,0.13772335648536682,0.13772335648536682
