variant,scale,group,n,mean,ci_lo,ci_hi
unrefined,0,low,2,0.13848647475242615,0.13811159133911133,0.13886135816574097
unrefined,0,high,1,0.14004236459732056,0.14004236459732056,0.14004236459732056
unrefined,0.25,low,2,0.1386042684316635,0.13830187916755676,0.13890665769577026
unrefined,0.25,high,1,0.1403539925813675,0.1403539925813675,0.1403539925813675
unrefined,0.3,low,2,0.1385928988456726,0.13801200687885284,0.13917377591133118
unrefined,0.3,high,1,0.14044073224067688,0.14044073224067688,0.14044073224067688
unrefined,0.5,low,2,0.13866451382637024,0.13822714984416962,0.13910186290740967
unrefined,0.5,high,1,0.14063994586467743,0.14063994586467743,0.14063994586467743
unrefined,0.7,low,2,0.13866731524467468,0.13846862316131592,0.13886602222919464
unrefined,0.7,high,1,0.1408824771642685,0.1408824771642685,0.1408824771642685
unrefined,0.75,low,2,0.13868659734725952,0.13849852979183197,0.13887465000152588
unrefined,0.75,high,1,0.1409713327884674,0.1409713327884674,0.1409713327884674
unrefined,1,low,2,0.1387081742286682,0.13867373764514923,0.138742595911026
unrefined,1,high,1,0.14062145352363586,0.14062145352363586,0.14062145352363586
refined,0,low,2,0.1387656331062317,0.1384599208831787,0.13907133042812347
refined,0,high,1,0.139577716588974,0.139577716588974,0.139577716588974
refined,0.25,low,2,0.13887974619865417,0.13853240013122559,0.13922707736492157
refined,0.25,high,1,0.14026635885238647,0.14026635885238647,0.14026635885238647
refined,0.3,low,2,0.13908320665359497,0.1387692391872406,0.13939715921878815
refined,0.3,high,1,0.14033347368240356,0.14033347368240356,0.14033347368240356
refined,0.5,low,2,0.1396380364894867,0.13937480747699738,0.1399012804031372
refined,0.5,high,1,0.14098428189754486,0.14098428189754486,0.14098428189754486
refined,0.7,low,2,0.1398911476135254,0.1398039311170578,0.13997837901115417
refined,0.7,high,1,0.14171956479549408,0.14171956479549408,0.14171956479549408
refined,0.75,low,2,0.1399652659893036,0.13990391790866852,0.14002659916877747
refined,0.75,high,1,0.14188960194587708,0.14188960194587708,0.14188960194587708
refined,1,low,2,0.14002253115177155,0.140001118183136,0.1400439441204071
refined,1,high,1,0.14178325235843658,0.14178325235843658,0.14178325235843658
